colour	y	x	showSelected1	fill
#4283C9	3.40845070422535	121	hit	#4283C9
#0D3A6B	3.38888888888889	122	miss	#0D3A6B
#0D3A6B	3.36986301369863	123	miss	#0D3A6B
#4283C9	3.3972602739726	124	hit	#4283C9
#0D3A6B	3.37837837837838	125	miss	#0D3A6B
#0D3A6B	3.36	126	miss	#0D3A6B
#4283C9	3.38666666666667	127	hit	#4283C9
#0D3A6B	3.36842105263158	128	miss	#0D3A6B
#0D3A6B	3.35064935064935	129	miss	#0D3A6B
#4283C9	3.37662337662338	130	hit	#4283C9
#4283C9	3.4025974025974	131	hit	#4283C9
#0D3A6B	3.38461538461538	132	miss	#0D3A6B
#4283C9	3.41025641025641	133	hit	#4283C9
#0D3A6B	3.39240506329114	134	miss	#0D3A6B
#4283C9	3.41772151898734	135	hit	#4283C9
#4283C9	3.44303797468354	136	hit	#4283C9
#4283C9	3.46835443037975	137	hit	#4283C9
#0D3A6B	3.45	138	miss	#0D3A6B
#4283C9	3.475	139	hit	#4283C9
#0D3A6B	3.45679012345679	140	miss	#0D3A6B
#0D3A6B	3.4390243902439	141	miss	#0D3A6B
#0D3A6B	3.42168674698795	142	miss	#0D3A6B
#0D3A6B	3.4047619047619	143	miss	#0D3A6B
#0D3A6B	3.38823529411765	144	miss	#0D3A6B
#4283C9	3.41176470588235	145	hit	#4283C9
#0D3A6B	3.3953488372093	146	miss	#0D3A6B
#0D3A6B	3.37931034482759	147	miss	#0D3A6B
#0D3A6B	3.36363636363636	148	miss	#0D3A6B
#4283C9	3.38636363636364	149	hit	#4283C9
#4283C9	3.40909090909091	150	hit	#4283C9
#0D3A6B	3.39325842696629	151	miss	#0D3A6B
#4283C9	3.41573033707865	152	hit	#4283C9
#4283C9	3.43820224719101	153	hit	#4283C9
#4283C9	3.46067415730337	154	hit	#4283C9
#4283C9	3.48314606741573	155	hit	#4283C9
#0D3A6B	3.46666666666667	156	miss	#0D3A6B
#0D3A6B	3.45054945054945	157	miss	#0D3A6B
#0D3A6B	3.43478260869565	158	miss	#0D3A6B
#4283C9	3.45652173913043	159	hit	#4283C9
#4283C9	3.47826086956522	160	hit	#4283C9
#0D3A6B	3.46236559139785	161	miss	#0D3A6B
#0D3A6B	3.4468085106383	162	miss	#0D3A6B
#0D3A6B	3.43157894736842	163	miss	#0D3A6B
#0D3A6B	3.41666666666667	164	miss	#0D3A6B
#0D3A6B	3.4020618556701	165	miss	#0D3A6B
#0D3A6B	3.38775510204082	166	miss	#0D3A6B
#0D3A6B	3.37373737373737	167	miss	#0D3A6B
#0D3A6B	3.36	168	miss	#0D3A6B
#0D3A6B	3.34653465346535	169	miss	#0D3A6B
#0D3A6B	3.33333333333333	170	miss	#0D3A6B
#4283C9	3.35294117647059	171	hit	#4283C9
#0D3A6B	3.33980582524272	172	miss	#0D3A6B
#0D3A6B	3.32692307692308	173	miss	#0D3A6B
#4283C9	3.34615384615385	174	hit	#4283C9
#0D3A6B	3.33333333333333	175	miss	#0D3A6B
#4283C9	3.35238095238095	176	hit	#4283C9
#0D3A6B	3.33962264150943	177	miss	#0D3A6B
#0D3A6B	3.32710280373832	178	miss	#0D3A6B
#0D3A6B	3.31481481481482	179	miss	#0D3A6B
#0D3A6B	3.30275229357798	180	miss	#0D3A6B
#0D3A6B	3.29090909090909	181	miss	#0D3A6B
#4283C9	3.30909090909091	182	hit	#4283C9
#0D3A6B	3.2972972972973	183	miss	#0D3A6B
#0D3A6B	3.28571428571429	184	miss	#0D3A6B
#0D3A6B	3.27433628318584	185	miss	#0D3A6B
#0D3A6B	3.26315789473684	186	miss	#0D3A6B
#4283C9	3.28070175438597	187	hit	#4283C9
#4283C9	3.29824561403509	188	hit	#4283C9
#4283C9	3.31578947368421	189	hit	#4283C9
#0D3A6B	3.30434782608696	190	miss	#0D3A6B
#0D3A6B	3.29310344827586	191	miss	#0D3A6B
#0D3A6B	3.28205128205128	192	miss	#0D3A6B
#4283C9	3.2991452991453	193	hit	#4283C9
#0D3A6B	3.28813559322034	194	miss	#0D3A6B
#0D3A6B	3.27731092436975	195	miss	#0D3A6B
#4283C9	3.29411764705882	196	hit	#4283C9
#0D3A6B	3.28333333333333	197	miss	#0D3A6B
#0D3A6B	3.27272727272727	198	miss	#0D3A6B
#4283C9	3.28925619834711	199	hit	#4283C9
#0D3A6B	3.27868852459016	200	miss	#0D3A6B
#0D3A6B	3.26829268292683	201	miss	#0D3A6B
#0D3A6B	3.25806451612903	202	miss	#0D3A6B
#4283C9	3.2741935483871	203	hit	#4283C9
#0D3A6B	3.264	204	miss	#0D3A6B
#0D3A6B	3.25396825396825	205	miss	#0D3A6B
#0D3A6B	3.24409448818898	206	miss	#0D3A6B
#0D3A6B	3.234375	207	miss	#0D3A6B
#0D3A6B	3.22480620155039	208	miss	#0D3A6B
#0D3A6B	3.21538461538462	209	miss	#0D3A6B
#0D3A6B	3.20610687022901	210	miss	#0D3A6B
#4283C9	3.22137404580153	211	hit	#4283C9
#0D3A6B	3.21212121212121	212	miss	#0D3A6B
#0D3A6B	3.20300751879699	213	miss	#0D3A6B
#4283C9	3.21804511278196	214	hit	#4283C9
#0D3A6B	3.2089552238806	215	miss	#0D3A6B
#0D3A6B	3.2	216	miss	#0D3A6B
#0D3A6B	3.19117647058824	217	miss	#0D3A6B
#0D3A6B	3.18248175182482	218	miss	#0D3A6B
#0D3A6B	3.17391304347826	219	miss	#0D3A6B
#0D3A6B	3.16546762589928	220	miss	#0D3A6B
#0D3A6B	3.15714285714286	221	miss	#0D3A6B
#0D3A6B	3.14893617021277	222	miss	#0D3A6B
#4283C9	3.16312056737589	223	hit	#4283C9
#0D3A6B	3.15492957746479	224	miss	#0D3A6B
