colour	x	xend	y	yend	showSelected1	showSelected2	row_in_group	na_group
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	2	miss	3	2
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	3	miss	5	3
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	3	hit	6	3
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	4	miss	8	4
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	4	hit	9	4
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	4	miss	10	4
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	5	miss	12	5
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	5	hit	13	5
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	5	miss	14	5
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	5	miss	15	5
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	6	miss	17	6
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	6	hit	18	6
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	6	miss	19	6
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	6	miss	20	6
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	6	miss	21	6
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	7	miss	23	7
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	7	hit	24	7
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	7	miss	25	7
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	7	miss	26	7
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	7	miss	27	7
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	7	miss	28	7
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	8	miss	30	8
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	8	hit	31	8
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	8	miss	32	8
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	8	miss	33	8
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	8	miss	34	8
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	8	miss	35	8
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	9	miss	38	10
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	9	hit	39	10
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	9	miss	40	10
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	9	miss	41	10
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	9	miss	42	10
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	9	miss	43	10
#0D3A6B	1.9861338813901	2.30679158911854	0.647354324810498	1.59454946546227	9	miss	45	11
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	10	miss	47	12
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	10	hit	48	12
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	10	miss	49	12
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	10	miss	50	12
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	10	miss	51	12
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	10	miss	52	12
#0D3A6B	1.9861338813901	2.30679158911854	0.647354324810498	1.59454946546227	10	miss	54	13
#0D3A6B	3.05608720042425	2.49502853035314	7.83126924760672	8.65904528539595	10	miss	55	13
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	11	miss	57	14
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	11	hit	58	14
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	11	miss	59	14
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	11	miss	60	14
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	11	miss	61	14
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	11	miss	62	14
#0D3A6B	1.9861338813901	2.30679158911854	0.647354324810498	1.59454946546227	11	miss	64	15
#0D3A6B	3.05608720042425	2.49502853035314	7.83126924760672	8.65904528539595	11	miss	65	15
#4283C9	2.68762514968761	1.6885888991376	8.73752674103342	8.7814194521252	11	hit	66	15
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	12	miss	68	16
