colour	x	y	showSelected1	showSelected2	fill
#4283C9	6	0.591549430918953	15	hit	#4283C9
#0D3A6B	7	0.273239544735163	15	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	15	miss	#0D3A6B
#4283C9	9	0.273239544735163	15	hit	#4283C9
#4283C9	10	0.432394487827058	15	hit	#4283C9
#4283C9	11	0.591549430918953	15	hit	#4283C9
#0D3A6B	12	0.400563499208679	15	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	15	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	15	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	15	miss	#0D3A6B
#4283C9	16	0.193662073189215	15	hit	#4283C9
#0D3A6B	2	0.363380227632419	16	miss	#0D3A6B
#4283C9	3	0.273239544735163	16	hit	#4283C9
#4283C9	4	0.909859317102744	16	hit	#4283C9
#0D3A6B	5	0.273239544735163	16	miss	#0D3A6B
#4283C9	6	0.591549430918953	16	hit	#4283C9
#0D3A6B	7	0.273239544735163	16	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	16	miss	#0D3A6B
#4283C9	9	0.273239544735163	16	hit	#4283C9
#4283C9	10	0.432394487827058	16	hit	#4283C9
#4283C9	11	0.591549430918953	16	hit	#4283C9
#0D3A6B	12	0.400563499208679	16	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	16	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	16	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	16	miss	#0D3A6B
#4283C9	16	0.193662073189215	16	hit	#4283C9
#4283C9	17	0.273239544735163	16	hit	#4283C9
#0D3A6B	2	0.363380227632419	17	miss	#0D3A6B
#4283C9	3	0.273239544735163	17	hit	#4283C9
#4283C9	4	0.909859317102744	17	hit	#4283C9
#0D3A6B	5	0.273239544735163	17	miss	#0D3A6B
#4283C9	6	0.591549430918953	17	hit	#4283C9
#0D3A6B	7	0.273239544735163	17	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	17	miss	#0D3A6B
#4283C9	9	0.273239544735163	17	hit	#4283C9
#4283C9	10	0.432394487827058	17	hit	#4283C9
#4283C9	11	0.591549430918953	17	hit	#4283C9
#0D3A6B	12	0.400563499208679	17	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	17	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	17	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	17	miss	#0D3A6B
#4283C9	16	0.193662073189215	17	hit	#4283C9
#4283C9	17	0.273239544735163	17	hit	#4283C9
#4283C9	18	0.35281701628111	17	hit	#4283C9
#0D3A6B	2	0.363380227632419	18	miss	#0D3A6B
#4283C9	3	0.273239544735163	18	hit	#4283C9
#4283C9	4	0.909859317102744	18	hit	#4283C9
#0D3A6B	5	0.273239544735163	18	miss	#0D3A6B
#4283C9	6	0.591549430918953	18	hit	#4283C9
