colour	x	y	showSelected1	fill
#53B400	1975	69.0725609756098	Latin America & Caribbean	#53B400
#C49A00	1975	63.9844390243903	Europe & Central Asia	#C49A00
#53B400	1975	62.975243902439	Latin America & Caribbean	#53B400
#53B400	1975	66.2543170731707	Latin America & Caribbean	#53B400
#53B400	1975	69.7781707317073	Latin America & Caribbean	#53B400
#F8766D	1975	49.5998048780488	East Asia & Pacific	#F8766D
#F8766D	1975	55.4799756097561	East Asia & Pacific	#F8766D
#F8766D	1975	57.469512195122	East Asia & Pacific	#F8766D
#00C094	1975	43.4045853658537	Middle East & North Africa	#00C094
#FB61D7	1975	54.5791951219512	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	51.0413658536585	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	56.7170243902439	Sub-Saharan Africa	#FB61D7
