y	x	label	key	clickSelects	showSelected2
51.466	1993	Afghanistan	Afghanistan	Afghanistan	Afghanistan
73.939	1993	Albania	Albania	Albania	Albania
67.719	1993	Algeria	Algeria	Algeria	Algeria
72.565	1993	Argentina	Argentina	Argentina	Argentina
68.841	1993	Armenia	Armenia	Armenia	Armenia
70.656	1993	Bahamas	Bahamas	Bahamas	Bahamas
73.375	1993	Bahrain	Bahrain	Bahrain	Bahrain
57.927	1993	Bangladesh	Bangladesh	Bangladesh	Bangladesh
73.19	1993	Barbados	Barbados	Barbados	Barbados
69.988	1993	Belize	Belize	Belize	Belize
54.537	1993	Benin	Benin	Benin	Benin
58.418	1993	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
57.719	1993	Botswana	Botswana	Botswana	Botswana
67.109	1993	Brazil	Brazil	Brazil	Brazil
72.312	1993	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
37.105	1993	Burundi	Burundi	Burundi	Burundi
56.08	1993	Cambodia	Cambodia	Cambodia	Cambodia
54.062	1993	Cameroon	Cameroon	Cameroon	Cameroon
48.353	1993	Central African Republic	Central African Republic	Central African Republic	Central African Republic
74.195	1993	Chile	Chile	Chile	Chile
69.216	1993	China	China	China	China
69.342	1993	Colombia	Colombia	Colombia	Colombia
54.146	1993	Congo	Congo	Congo	Congo
49.551	1993	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
76.703	1993	Costa Rica	Costa Rica	Costa Rica	Costa Rica
51.925	1993	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire
74.261	1993	Cuba	Cuba	Cuba	Cuba
68.472	1993	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic
70.345	1993	Ecuador	Ecuador	Ecuador	Ecuador
65.468	1993	Egypt	Egypt	Egypt	Egypt
65.235	1993	El Salvador	El Salvador	El Salvador	El Salvador
60.233	1993	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)
65.928	1993	Fiji	Fiji	Fiji	Fiji
60.718	1993	Gabon	Gabon	Gabon	Gabon
53.748	1993	Gambia	Gambia	Gambia	Gambia
56.416	1993	Ghana	Ghana	Ghana	Ghana
63.349	1993	Guatemala	Guatemala	Guatemala	Guatemala
48.962	1993	Guinea	Guinea	Guinea	Guinea
63.152	1993	Guyana	Guyana	Guyana	Guyana
54.35	1993	Haiti	Haiti	Haiti	Haiti
66.251	1993	Honduras	Honduras	Honduras	Honduras
59.815	1993	India	India	India	India
64.598	1993	Indonesia	Indonesia	Indonesia	Indonesia
67.139	1993	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)
66.897	1993	Iraq	Iraq	Iraq	Iraq
