y	x	label	key	clickSelects	showSelected2
75.187	2011	North Macedonia	North Macedonia	North Macedonia	North Macedonia
76.608	2011	Oman	Oman	Oman	Oman
64.648	2011	Pakistan	Pakistan	Pakistan	Pakistan
65.155	2011	Palau	Palau	Palau	Palau
73.243	2011	Palestine, State of	Palestine, State of	Palestine, State of	Palestine, State of
76.627	2011	Panama	Panama	Panama	Panama
63.526	2011	Papua New Guinea	Papua New Guinea	Papua New Guinea	Papua New Guinea
72.131	2011	Paraguay	Paraguay	Paraguay	Paraguay
74.133	2011	Peru	Peru	Peru	Peru
70.788	2011	Philippines	Philippines	Philippines	Philippines
78.891	2011	Qatar	Qatar	Qatar	Qatar
63.261	2011	Rwanda	Rwanda	Rwanda	Rwanda
71.538	2011	Saint Kitts and Nevis	Saint Kitts and Nevis	Saint Kitts and Nevis	Saint Kitts and Nevis
72.944	2011	Saint Lucia	Saint Lucia	Saint Lucia	Saint Lucia
74.596	2011	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines
72.26	2011	Samoa	Samoa	Samoa	Samoa
64.902	2011	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe
76.234	2011	Saudi Arabia	Saudi Arabia	Saudi Arabia	Saudi Arabia
65.262	2011	Senegal	Senegal	Senegal	Senegal
74.772	2011	Serbia	Serbia	Serbia	Serbia
73.754	2011	Seychelles	Seychelles	Seychelles	Seychelles
54.62	2011	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone
81.975	2011	Singapore	Singapore	Singapore	Singapore
68.908	2011	Solomon Islands	Solomon Islands	Solomon Islands	Solomon Islands
60.651	2011	South Africa	South Africa	South Africa	South Africa
54.94	2011	South Sudan	South Sudan	South Sudan	South Sudan
73.38	2011	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka
63.246	2011	Sudan	Sudan	Sudan	Sudan
69.914	2011	Suriname	Suriname	Suriname	Suriname
73.305	2011	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic
68.148	2011	Tajikistan	Tajikistan	Tajikistan	Tajikistan
61.049	2011	Tanzania (United Republic of)	Tanzania (United Republic of)	Tanzania (United Republic of)	Tanzania (United Republic of)
76.421	2011	Thailand	Thailand	Thailand	Thailand
65.697	2011	Timor-Leste	Timor-Leste	Timor-Leste	Timor-Leste
57.925	2011	Togo	Togo	Togo	Togo
70.381	2011	Tonga	Tonga	Tonga	Tonga
73.278	2011	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago
75.46	2011	Tunisia	Tunisia	Tunisia	Tunisia
74.941	2011	Türkiye	Türkiye	Türkiye	Türkiye
68.567	2011	Turkmenistan	Turkmenistan	Turkmenistan	Turkmenistan
63.974	2011	Tuvalu	Tuvalu	Tuvalu	Tuvalu
57.965	2011	Uganda	Uganda	Uganda	Uganda
71.387	2011	Ukraine	Ukraine	Ukraine	Ukraine
78.517	2011	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates
76.983	2011	Uruguay	Uruguay	Uruguay	Uruguay
69.649	2011	Uzbekistan	Uzbekistan	Uzbekistan	Uzbekistan
69.551	2011	Vanuatu	Vanuatu	Vanuatu	Vanuatu
72.913	2011	Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)
73.692	2011	Viet Nam	Viet Nam	Viet Nam	Viet Nam
67.419	2011	Yemen	Yemen	Yemen	Yemen
57.771	2011	Zambia	Zambia	Zambia	Zambia
53.347	2011	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe
