yintercept	key	showSelected2
4.688436912	Afghanistan	Afghanistan
10.16149998	Albania	Albania
10.12388992	Algeria	Algeria
13.67585993	Argentina	Argentina
9.8751297	Armenia	Armenia
11.55033249	Azerbaijan	Azerbaijan
11.39469043	Bahamas	Bahamas
11.00928974	Bahrain	Bahrain
6.755836105	Bangladesh	Bangladesh
13.77275689	Barbados	Barbados
12.36343956	Belarus	Belarus
11.15894396	Belize	Belize
5.72241148	Benin	Benin
13.79787932	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
10.88468329	Botswana	Botswana
13.19871093	Brazil	Brazil
11.5422349	Brunei Darussalam	Brunei Darussalam
4.531231105	Burundi	Burundi
7.52852318	Cambodia	Cambodia
7.542916417	Cameroon	Cameroon
4.502286013	Central African Republic	Central African Republic
12.26519184	Chile	Chile
8.975049973	China	China
11.07009983	Colombia	Colombia
9.935347939	Congo	Congo
6.630936861	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
10.85114002	Costa Rica	Costa Rica
6.002584636	Côte d'Ivoire	Côte d'Ivoire
11.97091961	Cuba	Cuba
2.960400105	Djibouti	Djibouti
10.34672505	Dominican Republic	Dominican Republic
12.13826566	Ecuador	Ecuador
10.15294278	Egypt	Egypt
9.935461807	El Salvador	El Salvador
9.699629784	Eswatini (Kingdom of)	Eswatini (Kingdom of)
11.90639265	Fiji	Fiji
11.32527499	Gabon	Gabon
4.939758484	Gambia	Gambia
6.418290368	Ghana	Ghana
7.418882779	Guatemala	Guatemala
3.856470108	Guinea	Guinea
9.468331411	Guyana	Guyana
8.610372524	Haiti	Haiti
8.694085884	Honduras	Honduras
8.135709763	India	India
10.40863037	Indonesia	Indonesia
11.42303514	Iran (Islamic Republic of)	Iran (Islamic Republic of)
7.951183948	Iraq	Iraq
10.73440254	Jamaica	Jamaica
12.04065037	Jordan	Jordan
11.69586792	Kazakhstan	Kazakhstan
8.320269269	Kenya	Kenya
12.07579041	Kuwait	Kuwait
10.29428005	Kyrgyzstan	Kyrgyzstan
7.272669792	Lao People's Democratic Republic	Lao People's Democratic Republic
8.989769936	Lesotho	Lesotho
16.40237174	Libya	Libya
10.50319004	Malawi	Malawi
11.29596011	Malaysia	Malaysia
9.94855838	Maldives	Maldives
3.064179897	Mali	Mali
5.645699978	Mauritania	Mauritania
10.76148987	Mauritius	Mauritius
11.3673296	Mexico	Mexico
10.94350862	Moldova (Republic of)	Moldova (Republic of)
7.820310116	Mongolia	Mongolia
7.432979822	Morocco	Morocco
4.507280111	Mozambique	Mozambique
7.797009786	Myanmar	Myanmar
12.81157494	Namibia	Namibia
8.120109558	Nepal	Nepal
8.830456053	Nicaragua	Nicaragua
2.36853994	Niger	Niger
11.16586018	North Macedonia	North Macedonia
4.492695185	Pakistan	Pakistan
11.37605953	Panama	Panama
5.46355327	Papua New Guinea	Papua New Guinea
10.73869038	Paraguay	Paraguay
11.79951	Peru	Peru
11.29183006	Philippines	Philippines
12.61415958	Qatar	Qatar
5.681099892	Rwanda	Rwanda
12.06320659	Saint Lucia	Saint Lucia
11.6675	Samoa	Samoa
8.666259962	Sao Tome and Principe	Sao Tome and Principe
11.85251359	Saudi Arabia	Saudi Arabia
4.877951908	Senegal	Senegal
12.80613509	Serbia	Serbia
5.304399967	Sierra Leone	Sierra Leone
15.26528596	Singapore	Singapore
13.19864453	South Africa	South Africa
12.01844144	Sri Lanka	Sri Lanka
4.511540488	Sudan	Sudan
9.778423173	Syrian Arab Republic	Syrian Arab Republic
9.887817621	Tajikistan	Tajikistan
5.242219925	Tanzania (United Republic of)	Tanzania (United Republic of)
10.24217987	Thailand	Thailand
8.817979813	Togo	Togo
12.71817992	Tonga	Tonga
10.93264181	Trinidad and Tobago	Trinidad and Tobago
11.2537899	Tunisia	Tunisia
9.661584854	Türkiye	Türkiye
10.61574745	Tuvalu	Tuvalu
6.179591285	Uganda	Uganda
12.20515633	Ukraine	Ukraine
10.60629148	United Arab Emirates	United Arab Emirates
13.34949017	Uruguay	Uruguay
10.56322002	Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)
9.563657403	Viet Nam	Viet Nam
6.412019836	Yemen	Yemen
8.1498	Zambia	Zambia
9.949327333	Zimbabwe	Zimbabwe
