group	size	y	x
1	1.69280952681169	60.364	2009
2	1.22631864190871	77.781	2009
3	1.78544916605488	73.62	2009
4	1.62806495835697	55.752	2009
5	1.03634731824884	76.669	2009
6	1.84448604447818	75.936	2009
7	1.22762239213426	72.813	2009
8	1.39966642949064	69.356	2009
9	1.07932295072455	72.579	2009
10	1.1432421725823	78.461	2009
11	2.60376011501592	67.403	2009
12	1.06811302512812	75.678	2009
13	1.41342555521146	71.094	2009
14	1.07312556580515	71.819	2009
15	1.40082479063306	57.956	2009
17	1.41960522855969	65.88	2009
18	1.26043716124672	76.976	2009
19	1.18911379104472	58.279	2009
20	2.84670279364481	72.948	2009
21	1.0817454476138	74.846	2009
22	1.52367023087785	55.959	2009
23	1.39056387390003	56.388	2009
24	1.0942319753065	73.088	2009
25	1.49802742139043	67.444	2009
26	1.58186204536996	56.102	2009
27	1.28261102243171	48.648	2009
28	1.44877653773284	49.196	2009
29	1.5431201394043	78.741	2009
30	5.845482505139	75.343	2009
31	1.88135918048275	74.742	2009
32	1.10537466517393	60.831	2009
33	1.27291192953132	61.088	2009
34	2.06145544809431	55.836	2009
35	1.28256720380512	78.672	2009
36	1.60198154639297	54.394	2009
37	1.4445974083933	77.548	2009
38	1.12505208478133	59.673	2009
39	1.03232701214975	72.17	2009
40	1.41109397934905	71.871	2009
41	1.50825546584148	75.184	2009
42	2.22430690732276	69.48	2009
43	1.32655117429606	71.576	2009
44	1.1346771277343	57.431	2009
45	1.23218257627921	63.328	2009
46	1.13796962451551	44.639	2009
47	2.23325703044941	58.804	2009
48	1.12507167695345	67.089	2009
49	1.16979550276544	63.303	2009
50	1.18101940636201	60.427	2009
51	1.25967698685552	71.95	2009
52	1.66128677887698	60.946	2009
53	1.04271539049722	75.036	2009
54	1.49984894239733	70.641	2009
55	1.41897810787534	56.348	2009
56	1.16314193489753	55.541	2009
57	1.11406487006913	66.563	2009
58	1.41285114986497	61.741	2009
59	1.38074240514502	70.911	2009
60	5.63183515840702	66.513	2009
61	3.05547055354845	68.494	2009
62	2.14146270751194	72.698	2009
63	1.72862619484786	66.446	2009
64	1.21810734354181	72.124	2009
65	1.34455948676449	73.801	2009
66	1.53611696045848	67.279	2009
67	1.8411587153151	60.365	2009
68	1.04119976154664	64.892	2009
69	1.22102788164219	77.442	2009
70	1.30783769283847	67.784	2009
71	1.33025479570507	63.273	2009
72	1.29435886851227	77.889	2009
73	1.18725843760117	44.034	2009
74	1.26135500198351	59.194	2009
75	1.33369462432736	72.356	2009
76	1.60834574553779	62.734	2009
77	1.50054159277874	55.448	2009
78	1.70325718253228	74.227	2009
79	1.0771923701323	77.069	2009
80	1.51323083092686	55.874	2009
82	1.24102772013899	62.8	2009
83	1.14926116088931	73.633	2009
84	2.39530153193245	74.119	2009
85	1.04159617878199	71.112	2009
86	1.25608353877306	69.573	2009
87	1.21585740480087	66.766	2009
88	1.10442942367243	75.269	2009
89	1.74943052469802	70.458	2009
90	1.62707295918257	53.788	2009
91	1.9269480371485	63.155	2009
92	1.18998893064938	55.496	2009
93	1.0042926869828	59.123	2009
94	1.68825998570055	66.761	2009
95	1.3178293415729	71.433	2009
96	1.53012398504506	57.396	2009
97	2.65693368033908	50.712	2009
98	1.19099530090193	74.719	2009
99	1.2171056529348	74.681	2009
100	2.82572330085625	64.14	2009
101	1.01300271210296	65.918	2009
102	1.26116483090199	72.608	2009
103	1.24948924378524	76.343	2009
104	1.3589739025418	62.788	2009
105	1.31594639678739	71.635	2009
106	1.71306306340735	73.466	2009
107	2.27650930491428	70.633	2009
108	1.16754674969136	77.878	2009
109	1.41944682509583	61.958	2009
110	1.02584717883423	71.393	2009
111	1.05304838250625	72.722	2009
112	1.04200972655211	75.083	2009
113	1.05679748477929	70.066	2009
114	1.05442534336707	65.116	2009
115	1.70657259049607	75.431	2009
116	1.46222742130931	63.923	2009
117	1.36692390937084	74.038	2009
118	1.03788179702291	72.688	2009
119	1.33104787282838	52.626	2009
120	1.29612763177144	81.456	2009
121	1.09535983110854	68.466	2009
123	1.94710887780084	57.447	2009
125	1.59913090849586	69.187	2009
126	1.75994626917432	62.644	2009
127	1.09647064038505	69.505	2009
128	1.61849431250365	73.853	2009
129	1.36164311763081	68.039	2009
130	1.87781122890234	58.894	2009
131	2.09032765950001	75.842	2009
132	1.1360922278103	64.854	2009
133	1.33470278767204	57.011	2009
134	1.04144341900159	70.012	2009
135	1.156224379011	73.126	2009
136	1.43465331073118	75.267	2009
137	2.12524203972154	74.765	2009
138	1.30112558288857	67.958	2009
139	1.00463442552839	63.949	2009
140	1.74202026585788	56.488	2009
141	1.89664348811144	70.247	2009
142	1.37413081590473	78.003	2009
143	1.24180988866344	76.738	2009
144	1.70264158846848	68.871	2009
145	1.06357245464579	69.653	2009
146	1.70463561254016	72.579	2009
147	2.23131730967684	73.498	2009
148	1.64896015883709	67.196	2009
149	1.48305770954534	55.3	2009
150	1.47133199885815	48.063	2009
