y	x	label	key	clickSelects	showSelected2
61.923	2012	Afghanistan	Afghanistan	Afghanistan	Afghanistan
78.064	2012	Albania	Albania	Albania	Albania
74.202	2012	Algeria	Algeria	Algeria	Algeria
58.623	2012	Angola	Angola	Angola	Angola
77.35	2012	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda
76.467	2012	Argentina	Argentina	Argentina	Argentina
73.454	2012	Armenia	Armenia	Armenia	Armenia
70.36	2012	Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan
72.753	2012	Bahamas	Bahamas	Bahamas	Bahamas
79.081	2012	Bahrain	Bahrain	Bahrain	Bahrain
69.554	2012	Bangladesh	Bangladesh	Bangladesh	Bangladesh
76.099	2012	Barbados	Barbados	Barbados	Barbados
72.614	2012	Belarus	Belarus	Belarus	Belarus
73.245	2012	Belize	Belize	Belize	Belize
58.716	2012	Benin	Benin	Benin	Benin
69.326	2012	Bhutan	Bhutan	Bhutan	Bhutan
66.705	2012	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
77.191	2012	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina
60.8	2012	Botswana	Botswana	Botswana	Botswana
73.552	2012	Brazil	Brazil	Brazil	Brazil
74.827	2012	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
57.619	2012	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso
58.493	2012	Burundi	Burundi	Burundi	Burundi
74.484	2012	Cabo Verde	Cabo Verde	Cabo Verde	Cabo Verde
68.915	2012	Cambodia	Cambodia	Cambodia	Cambodia
57.792	2012	Cameroon	Cameroon	Cameroon	Cameroon
50.686	2012	Central African Republic	Central African Republic	Central African Republic	Central African Republic
50.54	2012	Chad	Chad	Chad	Chad
79.023	2012	Chile	Chile	Chile	Chile
76.192	2012	China	China	China	China
75.597	2012	Colombia	Colombia	Colombia	Colombia
61.834	2012	Comoros	Comoros	Comoros	Comoros
62.317	2012	Congo	Congo	Congo	Congo
57.248	2012	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
79.283	2012	Costa Rica	Costa Rica	Costa Rica	Costa Rica
56.158	2012	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire
77.833	2012	Cuba	Cuba	Cuba	Cuba
60.848	2012	Djibouti	Djibouti	Djibouti	Djibouti
70.538	2012	Dominica	Dominica	Dominica	Dominica
72.514	2012	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic
76.062	2012	Ecuador	Ecuador	Ecuador	Ecuador
70.085	2012	Egypt	Egypt	Egypt	Egypt
71.831	2012	El Salvador	El Salvador	El Salvador	El Salvador
58.865	2012	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea
64.838	2012	Eritrea	Eritrea	Eritrea	Eritrea
49.835	2012	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)
61.543	2012	Ethiopia	Ethiopia	Ethiopia	Ethiopia
67.552	2012	Fiji	Fiji	Fiji	Fiji
64.587	2012	Gabon	Gabon	Gabon	Gabon
62.096	2012	Gambia	Gambia	Gambia	Gambia
72.412	2012	Georgia	Georgia	Georgia	Georgia
62.081	2012	Ghana	Ghana	Ghana	Ghana
75.042	2012	Grenada	Grenada	Grenada	Grenada
71.463	2012	Guatemala	Guatemala	Guatemala	Guatemala
57.406	2012	Guinea	Guinea	Guinea	Guinea
57.69	2012	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau
67.23	2012	Guyana	Guyana	Guyana	Guyana
62.291	2012	Haiti	Haiti	Haiti	Haiti
71.734	2012	Honduras	Honduras	Honduras	Honduras
67.887	2012	India	India	India	India
68.973	2012	Indonesia	Indonesia	Indonesia	Indonesia
74.186	2012	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)
68.023	2012	Iraq	Iraq	Iraq	Iraq
73.433	2012	Jamaica	Jamaica	Jamaica	Jamaica
74.366	2012	Jordan	Jordan	Jordan	Jordan
69.129	2012	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan
61.115	2012	Kenya	Kenya	Kenya	Kenya
65.378	2012	Kiribati	Kiribati	Kiribati	Kiribati
78.812	2012	Kuwait	Kuwait	Kuwait	Kuwait
