group	size	y	x
1	1.54751127193668	53.243	1996
2	1.23915514424312	74.592	1996
3	1.71275942596204	68.749	1996
6	1.78760393885439	73.307	1996
7	1.24016349826602	69.783	1996
8	1.37310914977582	62.622	1996
9	1.07200957373168	70.71	1996
10	1.10456147205546	74.355	1996
11	2.44970261828332	59.492	1996
12	1.06668250507254	73.546	1996
13	1.42757598843626	68.901	1996
14	1.05931384842822	69.806	1996
15	1.32956206407169	55.558	1996
17	1.37405402261635	60.084	1996
19	1.16606971108908	54.357	1996
20	2.70615488181406	68.409	1996
21	1.07216322906239	73.1	1996
23	1.32220870991207	44.373	1996
25	1.44260989591494	56.346	1996
26	1.48770367340362	52.82	1996
27	1.242512695587	46.831	1996
29	1.50605529297906	74.899	1996
30	5.64064407230347	70.266	1996
31	1.80132213096117	70.189	1996
33	1.22186100607897	53.491	1996
34	1.87941539440189	49.307	1996
35	1.25287087506261	76.804	1996
36	1.50943009049829	51.52	1996
37	1.43823920637877	74.903	1996
38	1.10555387801724	56.186	1996
40	1.37459142055214	69.097	1996
41	1.45419568630076	71.362	1996
42	2.07209711692422	66.742	1996
43	1.31855946361135	67.076	1996
46	1.13003419998635	53.873	1996
48	1.11749338987998	66.408	1996
49	1.14146542774091	60.612	1996
50	1.14921431432277	56.009	1996
52	1.55919375666876	56.82	1996
54	1.43157244978004	64.863	1996
55	1.36680636654979	50.544	1996
57	1.1142424597037	63.205	1996
58	1.36889112286505	56.154	1996
59	1.32345899851717	67.439	1996
60	5.15207038781472	60.984	1996
61	2.87896821660084	65.355	1996
62	2.03915451952479	68.07	1996
63	1.61582543029675	66.391	1996
64	1.21035251883502	71.488	1996
65	1.28397678922737	71.064	1996
66	1.531879464795	63.633	1996
67	1.69571915841904	55.161	1996
69	1.17234626294366	75.618	1996
70	1.28575888945145	64.276	1996
71	1.2971091458542	56.891	1996
73	1.18470973972099	55.232	1996
75	1.29042921840789	71.284	1996
77	1.42498621181928	43.441	1996
78	1.60214591523782	72.327	1996
79	1.06682013951903	68.702	1996
80	1.42128553779952	47.792	1996
82	1.20596939942288	60.063	1996
83	1.14281862046229	70.418	1996
84	2.26713227466025	72.037	1996
86	1.278412503058	64.241	1996
87	1.20289114041616	60.305	1996
89	1.68790518932578	65.238	1996
90	1.53081210092654	46.636	1996
91	1.87245632849303	58.941	1996
92	1.16961599469198	56.918	1996
94	1.63190969806401	59.981	1996
95	1.2901974591322	66.052	1996
96	1.42166057619101	46.676	1996
98	1.18655754708016	72.235	1996
100	2.55112027748469	60.398	1996
103	1.22007613690227	72.675	1996
104	1.28939591207723	61.105	1996
105	1.28713822987617	69.202	1996
106	1.66071041078878	68.147	1996
107	2.11522002123891	68.614	1996
108	1.09549138503446	74.685	1996
109	1.3429021643381	40.698	1996
111	1.05038391357462	70.904	1996
113	1.05419694488185	69.588	1996
114	1.0470445322182	61.097	1996
115	1.5832315469989	71.273	1996
116	1.39356136684393	56.672	1996
117	1.37414960758921	71.554	1996
119	1.27579224353178	43.68	1996
120	1.25272066665372	76.536	1996
123	1.88481070592749	61.459	1996
125	1.56664550369527	72.261	1996
126	1.64669582147966	52.276	1996
128	1.50767063976451	70.347	1996
129	1.32505545090888	59.129	1996
130	1.73880230629771	50.744	1996
131	2.02738450431808	71.653	1996
133	1.27890605588454	54.098	1996
134	1.03994646797254	68.323	1996
135	1.15121975700581	69.009	1996
136	1.40642913765737	72.38	1996
137	2.02808984130468	70.141	1996
139	1.00274096365307	63.21	1996
140	1.6102518529381	46.67	1996
141	1.941960799218	67.148	1996
142	1.21200639994927	72.767	1996
143	1.23751105798138	74.088	1996
146	1.62896371576925	72.111	1996
147	2.14624323514318	71.51	1996
148	1.5395717288515	60.568	1996
149	1.39486443333082	45.233	1996
150	1.44252191723468	48.955	1996
