group	size	y	x
1	1.45961041102141	2474.681985	1992
2	1.24034015856694	3177.137422	1992
3	1.68470171957392	8208.306614	1992
6	1.76706653389501	15920.94513	1992
7	1.25002322288698	2640.652135	1992
9	1.06915794602212	30862.45104	1992
10	1.09777788399977	42416.39005	1992
11	2.39669986171214	1866.833172	1992
12	1.06634232331226	12260.67319	1992
14	1.05635175828232	7490.385265	1992
15	1.30907944745995	2054.547255	1992
17	1.35984052120886	4402.735354	1992
19	1.15731503370939	9685.754105	1992
20	2.65325266105741	9914.314828	1992
21	1.06857786603621	72020.9326	1992
23	1.31706843963404	1149.78945	1992
25	1.41258728592393	1067.800294	1992
26	1.46096591888666	2930.428651	1992
27	1.2286764101599	1224.029174	1992
29	1.49140994617452	10895.25699	1992
30	5.55583307115316	1729.802757	1992
31	1.77129208537635	8290.867446	1992
33	1.20985449372373	4455.562336	1992
34	1.81970633776556	1253.664528	1992
35	1.24100311370337	10179.63677	1992
36	1.47427090547021	2654.233463	1992
37	1.43463805267202	4116.573864	1992
40	1.3606416558364	6435.250532	1992
41	1.43726174633447	7847.554358	1992
42	2.02548886135566	6374.101778	1992
43	1.3117462253779	5360.780075	1992
46	1.12672767046966	5078.874892	1992
48	1.11676890606327	7827.262346	1992
49	1.1342703353024	15496.14728	1992
50	1.14000480411177	2018.092951	1992
52	1.53348076252398	2360.348952	1992
54	1.40956790689649	5654.353468	1992
55	1.3458724313903	1400.370763	1992
57	1.11358273694428	2257.479401	1992
58	1.35521514180845	3337.484514	1992
59	1.30585749625989	3535.322234	1992
60	4.98902447444026	1832.898784	1992
61	2.81819412045417	4727.331292	1992
62	2.02019966046452	10336.76699	1992
63	1.56762190988264	2973.008714	1992
64	1.20621430510156	9270.018404	1992
65	1.26007126517096	7987.826065	1992
66	1.54649875164332	11653.92983	1992
67	1.65736389553804	3329.577545	1992
69	1.16808786006448	54511.7619	1992
70	1.28064121986259	3991.41314	1992
71	1.28250448093444	1998.259549	1992
73	1.18006712271886	2180.439172	1992
75	1.27887264199233	28898.14989	1992
77	1.42094234243869	869.4606571	1992
78	1.56979592518115	11404.81276	1992
80	1.40383297551535	1387.941777	1992
82	1.19362734941308	4363.648173	1992
83	1.13947542122625	8909.856498	1992
84	2.22066474175306	15356.6141	1992
86	1.2804425580548	8134.997648	1992
87	1.19761426635749	3964.611052	1992
89	1.66722449604543	4063.695801	1992
90	1.49202652828006	415.6825682	1992
91	1.85021217141467	604.735266	1992
92	1.1595829932345	6825.340105	1992
94	1.60233634992658	1589.199428	1992
95	1.27831730032783	2912.180083	1992
96	1.39498929570277	1036.395354	1992
100	2.46473223694864	3177.853976	1992
103	1.21124613806015	11785.22423	1992
104	1.26901057489548	2868.873494	1992
105	1.27354791171133	8293.900308	1992
106	1.63555166829309	4972.636475	1992
107	2.06371016206287	4073.206529	1992
108	1.09001202803489	66118.0704	1992
111	1.04905285194859	10716.15416	1992
114	1.04518835284206	2259.475358	1992
115	1.5503022362395	47251.24759	1992
116	1.37370574751182	2391.680607	1992
119	1.27433241191918	1470.476903	1992
120	1.23757001409754	41403.02564	1992
123	1.85558720644131	9442.636784	1992
125	1.55574116996979	4298.35861	1992
126	1.61782549457729	2662.749512	1992
128	1.48011456165606	4873.146259	1992
129	1.31465723252299	2752.381411	1992
130	1.69527782677933	1263.125488	1992
131	1.9990744106623	8093.436837	1992
133	1.26801727046694	1546.364263	1992
134	1.03974085723873	4566.105508	1992
135	1.14959172344563	10598.42007	1992
136	1.39264966246595	5868.244069	1992
137	1.99346940975162	13309.27221	1992
139	1.00222948418008	3232.120579	1992
140	1.5740152419676	893.5719568	1992
141	1.9527785902131	13428.01367	1992
142	1.19220519845204	89126.91514	1992
143	1.23480485973041	12063.69411	1992
146	1.60231200762938	18236.231	1992
147	2.10609388743884	2244.106015	1992
148	1.50289761933644	2288.669529	1992
149	1.37604015460635	1903.504771	1992
150	1.43175945048726	1474.269816	1992
