y	x	label	key	clickSelects	showSelected2
60.851	2010	Afghanistan	Afghanistan	Afghanistan	Afghanistan
77.936	2010	Albania	Albania	Albania	Albania
73.808	2010	Algeria	Algeria	Algeria	Algeria
56.726	2010	Angola	Angola	Angola	Angola
76.82	2010	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda
75.721	2010	Argentina	Argentina	Argentina	Argentina
73.16	2010	Armenia	Armenia	Armenia	Armenia
69.529	2010	Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan
72.731	2010	Bahamas	Bahamas	Bahamas	Bahamas
78.748	2010	Bahrain	Bahrain	Bahrain	Bahrain
68.638	2010	Bangladesh	Bangladesh	Bangladesh	Bangladesh
75.712	2010	Barbados	Barbados	Barbados	Barbados
71.122	2010	Belarus	Belarus	Belarus	Belarus
72.272	2010	Belize	Belize	Belize	Belize
58.363	2010	Benin	Benin	Benin	Benin
68.43	2010	Bhutan	Bhutan	Bhutan	Bhutan
66.162	2010	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
77.073	2010	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina
60.013	2010	Botswana	Botswana	Botswana	Botswana
73.182	2010	Brazil	Brazil	Brazil	Brazil
74.849	2010	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
56.477	2010	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso
57.081	2010	Burundi	Burundi	Burundi	Burundi
73.499	2010	Cabo Verde	Cabo Verde	Cabo Verde	Cabo Verde
67.712	2010	Cambodia	Cambodia	Cambodia	Cambodia
56.582	2010	Cameroon	Cameroon	Cameroon	Cameroon
49.255	2010	Central African Republic	Central African Republic	Central African Republic	Central African Republic
49.584	2010	Chad	Chad	Chad	Chad
78.501	2010	Chile	Chile	Chile	Chile
75.599	2010	China	China	China	China
75.033	2010	Colombia	Colombia	Colombia	Colombia
61.123	2010	Comoros	Comoros	Comoros	Comoros
61.683	2010	Congo	Congo	Congo	Congo
56.417	2010	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
78.67	2010	Costa Rica	Costa Rica	Costa Rica	Costa Rica
55.023	2010	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire
77.661	2010	Cuba	Cuba	Cuba	Cuba
60.259	2010	Djibouti	Djibouti	Djibouti	Djibouti
71.55	2010	Dominica	Dominica	Dominica	Dominica
72.093	2010	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic
75.43	2010	Ecuador	Ecuador	Ecuador	Ecuador
69.664	2010	Egypt	Egypt	Egypt	Egypt
71.848	2010	El Salvador	El Salvador	El Salvador	El Salvador
57.878	2010	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea
63.787	2010	Eritrea	Eritrea	Eritrea	Eritrea
46.619	2010	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)
59.73	2010	Ethiopia	Ethiopia	Ethiopia	Ethiopia
67.328	2010	Fiji	Fiji	Fiji	Fiji
63.898	2010	Gabon	Gabon	Gabon	Gabon
60.717	2010	Gambia	Gambia	Gambia	Gambia
72.128	2010	Georgia	Georgia	Georgia	Georgia
61.157	2010	Ghana	Ghana	Ghana	Ghana
74.999	2010	Grenada	Grenada	Grenada	Grenada
70.878	2010	Guatemala	Guatemala	Guatemala	Guatemala
56.72	2010	Guinea	Guinea	Guinea	Guinea
56.23	2010	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau
66.743	2010	Guyana	Guyana	Guyana	Guyana
46.019	2010	Haiti	Haiti	Haiti	Haiti
71.088	2010	Honduras	Honduras	Honduras	Honduras
66.909	2010	India	India	India	India
68.679	2010	Indonesia	Indonesia	Indonesia	Indonesia
73.069	2010	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)
67.062	2010	Iraq	Iraq	Iraq	Iraq
72.622	2010	Jamaica	Jamaica	Jamaica	Jamaica
74	2010	Jordan	Jordan	Jordan	Jordan
68.116	2010	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan
60.649	2010	Kenya	Kenya	Kenya	Kenya
65.016	2010	Kiribati	Kiribati	Kiribati	Kiribati
77.982	2010	Kuwait	Kuwait	Kuwait	Kuwait
68.254	2010	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan
63.973	2010	Lao People's Democratic Republic	Lao People's Democratic Republic	Lao People's Democratic Republic	Lao People's Democratic Republic
78.156	2010	Lebanon	Lebanon	Lebanon	Lebanon
45.596	2010	Lesotho	Lesotho	Lesotho	Lesotho
59.433	2010	Liberia	Liberia	Liberia	Liberia
72.374	2010	Libya	Libya	Libya	Libya
62.873	2010	Madagascar	Madagascar	Madagascar	Madagascar
56.381	2010	Malawi	Malawi	Malawi	Malawi
74.442	2010	Malaysia	Malaysia	Malaysia	Malaysia
77.657	2010	Maldives	Maldives	Maldives	Maldives
56.382	2010	Mali	Mali	Mali	Mali
63.105	2010	Mauritania	Mauritania	Mauritania	Mauritania
73.999	2010	Mauritius	Mauritius	Mauritius	Mauritius
74.19	2010	Mexico	Mexico	Mexico	Mexico
71.233	2010	Micronesia (Federated States of)	Micronesia (Federated States of)	Micronesia (Federated States of)	Micronesia (Federated States of)
69.357	2010	Moldova (Republic of)	Moldova (Republic of)	Moldova (Republic of)	Moldova (Republic of)
67.182	2010	Mongolia	Mongolia	Mongolia	Mongolia
76.139	2010	Montenegro	Montenegro	Montenegro	Montenegro
70.829	2010	Morocco	Morocco	Morocco	Morocco
54.198	2010	Mozambique	Mozambique	Mozambique	Mozambique
63.329	2010	Myanmar	Myanmar	Myanmar	Myanmar
56.015	2010	Namibia	Namibia	Namibia	Namibia
59.64	2010	Nauru	Nauru	Nauru	Nauru
66.814	2010	Nepal	Nepal	Nepal	Nepal
72.009	2010	Nicaragua	Nicaragua	Nicaragua	Nicaragua
58.367	2010	Niger	Niger	Niger	Niger
