yintercept	key	showSelected2
2059.012272	Afghanistan	Afghanistan
11056.62958	Albania	Albania
10980.75981	Algeria	Algeria
6872.533242	Angola	Angola
17054.12146	Antigua and Barbuda	Antigua and Barbuda
23942.4341	Argentina	Argentina
9892.559907	Armenia	Armenia
13002.31301	Azerbaijan	Azerbaijan
33388.75251	Bahamas	Bahamas
39814.25241	Bahrain	Bahrain
3855.485519	Bangladesh	Bangladesh
14842.24481	Barbados	Barbados
18070.50266	Belarus	Belarus
8330.018662	Belize	Belize
2630.204323	Benin	Benin
7949.288281	Bhutan	Bhutan
6420.557585	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
11021.62027	Bosnia and Herzegovina	Bosnia and Herzegovina
13102.02839	Botswana	Botswana
14873.19706	Brazil	Brazil
66074.48269	Brunei Darussalam	Brunei Darussalam
1651.861191	Burkina Faso	Burkina Faso
801.2799466	Burundi	Burundi
6539.28539	Cabo Verde	Cabo Verde
2742.898871	Cambodia	Cambodia
3282.844317	Cameroon	Cameroon
1175.827953	Central African Republic	Central African Republic
1634.122312	Chad	Chad
20340.00784	Chile	Chile
9589.871626	China	China
12027.97526	Colombia	Colombia
3081.512974	Comoros	Comoros
4290.964875	Congo	Congo
826.8531901	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
16639.75824	Costa Rica	Costa Rica
2483.812121	Côte d'Ivoire	Côte d'Ivoire
7352.238416	Cuba	Cuba
3113.456227	Djibouti	Djibouti
12988.40671	Dominica	Dominica
12418.22533	Dominican Republic	Dominican Republic
10818.62504	Ecuador	Ecuador
10017.38493	Egypt	Egypt
7439.631163	El Salvador	El Salvador
17559.69006	Equatorial Guinea	Equatorial Guinea
1764.953463	Eritrea	Eritrea
6923.968151	Eswatini (Kingdom of)	Eswatini (Kingdom of)
1333.214772	Ethiopia	Ethiopia
9910.91611	Fiji	Fiji
11386.68385	Gabon	Gabon
1891.346904	Gambia	Gambia
10268.19764	Georgia	Georgia
3992.131826	Ghana	Ghana
11779.53493	Grenada	Grenada
7297.904709	Guatemala	Guatemala
1875.766088	Guinea	Guinea
1797.476454	Guinea-Bissau	Guinea-Bissau
9730.868035	Guyana	Guyana
3066.756293	Haiti	Haiti
4620.063584	Honduras	Honduras
4335.660812	India	India
8362.939836	Indonesia	Indonesia
15316.2112	Iran (Islamic Republic of)	Iran (Islamic Republic of)
8466.484633	Iraq	Iraq
9482.988574	Jamaica	Jamaica
11823.29508	Jordan	Jordan
18264.09656	Kazakhstan	Kazakhstan
3445.493005	Kenya	Kenya
2369.929023	Kiribati	Kiribati
67372.20057	Kuwait	Kuwait
3867.145395	Kyrgyzstan	Kyrgyzstan
4763.415317	Lao People's Democratic Republic	Lao People's Democratic Republic
19093.08957	Lebanon	Lebanon
2887.770335	Lesotho	Lesotho
1344.003258	Liberia	Liberia
16349.90777	Libya	Libya
1467.542637	Madagascar	Madagascar
1348.988245	Malawi	Malawi
20382.69084	Malaysia	Malaysia
15300.31364	Maldives	Maldives
1941.54647	Mali	Mali
4498.096006	Marshall Islands	Marshall Islands
4692.380081	Mauritania	Mauritania
18039.02721	Mauritius	Mauritius
18134.34709	Mexico	Mexico
4092.031496	Micronesia (Federated States of)	Micronesia (Federated States of)
9527.407817	Moldova (Republic of)	Moldova (Republic of)
8058.269315	Mongolia	Mongolia
17401.97134	Montenegro	Montenegro
6937.933594	Morocco	Morocco
1075.173192	Mozambique	Mozambique
2915.311297	Myanmar	Myanmar
9068.238438	Namibia	Namibia
5437.048851	Nauru	Nauru
2776.65818	Nepal	Nepal
4693.057332	Nicaragua	Nicaragua
1074.545896	Niger	Niger
4682.3148	Nigeria	Nigeria
13606.40965	North Macedonia	North Macedonia
35349.15082	Oman	Oman
4025.258794	Pakistan	Pakistan
16991.97065	Palau	Palau
6183.913701	Palestine, State of	Palestine, State of
22676.84179	Panama	Panama
2918.15232	Papua New Guinea	Papua New Guinea
11115.68235	Paraguay	Paraguay
9725.961837	Peru	Peru
6644.133824	Philippines	Philippines
103120.1263	Qatar	Qatar
