yintercept	key	showSelected2
3115.670448	Afghanistan	Afghanistan
4964.172443	Albania	Albania
8592.763017	Algeria	Algeria
13588.67644	Argentina	Argentina
5183.292903	Armenia	Armenia
34032.56457	Bahamas	Bahamas
39137.16858	Bahrain	Bahrain
1771.688554	Bangladesh	Bangladesh
13706.56564	Barbados	Barbados
6293.162351	Belize	Belize
2068.828449	Benin	Benin
4210.133687	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
8945.25068	Botswana	Botswana
10130.85589	Brazil	Brazil
70593.80145	Brunei Darussalam	Brunei Darussalam
1114.726878	Burundi	Burundi
1013.44038	Cambodia	Cambodia
3362.222816	Cameroon	Cameroon
1299.64873	Central African Republic	Central African Republic
9302.786094	Chile	Chile
1425.257315	China	China
8054.813305	Colombia	Colombia
4320.851334	Congo	Congo
1633.639887	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
9381.0255	Costa Rica	Costa Rica
2861.19546	Côte d'Ivoire	Côte d'Ivoire
5254.767284	Cuba	Cuba
5945.853794	Dominican Republic	Dominican Republic
7482.469619	Ecuador	Ecuador
6131.438951	Egypt	Egypt
5047.765852	El Salvador	El Salvador
5175.991722	Eswatini (Kingdom of)	Eswatini (Kingdom of)
7780.496138	Fiji	Fiji
16224.83635	Gabon	Gabon
2039.632056	Gambia	Gambia
2263.132657	Ghana	Ghana
5418.050785	Guatemala	Guatemala
1403.309843	Guinea	Guinea
2038.707505	Guyana	Guyana
3598.510892	Haiti	Haiti
3696.388877	Honduras	Honduras
1795.941836	India	India
4184.535574	Indonesia	Indonesia
9438.505018	Iran (Islamic Republic of)	Iran (Islamic Republic of)
7153.107833	Iraq	Iraq
9071.383773	Jamaica	Jamaica
7329.316799	Jordan	Jordan
13967.87015	Kazakhstan	Kazakhstan
3530.979505	Kenya	Kenya
54641.72695	Kuwait	Kuwait
5158.771317	Kyrgyzstan	Kyrgyzstan
1918.79479	Lao People's Democratic Republic	Lao People's Democratic Republic
2264.706006	Lesotho	Lesotho
26943.62201	Libya	Libya
915.0086761	Malawi	Malawi
10209.35456	Malaysia	Malaysia
1330.966126	Mali	Mali
4448.710057	Mauritania	Mauritania
8174.476757	Mauritius	Mauritius
14735.41298	Mexico	Mexico
14067.23025	Moldova (Republic of)	Moldova (Republic of)
4551.658099	Mongolia	Mongolia
3999.676758	Morocco	Morocco
443.6287718	Mozambique	Mozambique
552.4215807	Myanmar	Myanmar
6331.557309	Namibia	Namibia
1515.347144	Nepal	Nepal
2981.449734	Nicaragua	Nicaragua
1085.825979	Niger	Niger
2982.54961	Pakistan	Pakistan
10525.95704	Panama	Panama
2432.642116	Papua New Guinea	Papua New Guinea
8543.997289	Paraguay	Paraguay
4934.983851	Peru	Peru
4162.196674	Philippines	Philippines
64498.10583	Qatar	Qatar
10161.15395	Saint Lucia	Saint Lucia
2370.941188	Sao Tome and Principe	Sao Tome and Principe
43800.34381	Saudi Arabia	Saudi Arabia
2412.13208	Senegal	Senegal
1763.808912	Sierra Leone	Sierra Leone
38458.13117	Singapore	Singapore
10089.58306	South Africa	South Africa
4013.652282	Sri Lanka	Sri Lanka
2521.390381	Sudan	Sudan
4211.144863	Syrian Arab Republic	Syrian Arab Republic
4337.052097	Tajikistan	Tajikistan
1291.370117	Tanzania (United Republic of)	Tanzania (United Republic of)
7074.217175	Thailand	Thailand
1713.751025	Togo	Togo
4363.895971	Tonga	Tonga
10700.27231	Trinidad and Tobago	Trinidad and Tobago
5520.324892	Tunisia	Tunisia
12909.7283	Türkiye	Türkiye
3115.564477	Tuvalu	Tuvalu
885.1965355	Uganda	Uganda
16807.19409	Ukraine	Ukraine
97331.0236	United Arab Emirates	United Arab Emirates
10742.34299	Uruguay	Uruguay
16424.921	Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)
1970.993078	Viet Nam	Viet Nam
2390.861687	Yemen	Yemen
2107.377323	Zambia	Zambia
1594.410211	Zimbabwe	Zimbabwe
