group	size	y	x
1	1.73075792753012	61.923	2012
2	1.22482829939358	78.064	2012
3	1.80816315471837	74.202	2012
4	1.66442819124583	58.623	2012
5	1.03709703311904	77.35	2012
6	1.85754822723986	76.467	2012
7	1.22569334788199	73.454	2012
8	1.40761429522399	70.36	2012
9	1.08085586635547	72.753	2012
10	1.14599946112223	79.081	2012
11	2.63292414229786	69.554	2012
12	1.06842198872409	76.099	2012
13	1.41206711422754	72.614	2012
14	1.07581986532106	73.245	2012
15	1.41882650012657	58.716	2012
16	1.11172659816026	69.326	2012
17	1.43029906462799	66.705	2012
18	1.25349896982907	77.191	2012
19	1.19488636245613	60.8	2012
20	2.872443336056	73.552	2012
21	1.08347759598339	74.827	2012
22	1.54762553425944	57.619	2012
23	1.4142257073624	58.493	2012
24	1.09591261659641	74.484	2012
25	1.50901165926731	68.915	2012
26	1.60712817623138	57.792	2012
27	1.28901430976192	50.686	2012
28	1.47272667555545	50.54	2012
29	1.55126392965215	79.023	2012
30	5.89486689421439	76.192	2012
31	1.89584663058232	75.597	2012
32	1.10881750049928	61.834	2012
33	1.28718710513656	62.317	2012
34	2.11563578248372	57.248	2012
35	1.28789859412827	79.283	2012
36	1.62108965420009	56.158	2012
37	1.4451118443513	77.833	2012
38	1.12872709294134	60.848	2012
39	1.0323546608458	70.538	2012
40	1.4191780783832	72.514	2012
41	1.52088156790263	76.062	2012
42	2.26473501608684	70.085	2012
43	1.32842770528953	71.831	2012
44	1.14410756487914	58.865	2012
45	1.23846740373818	64.838	2012
46	1.13901772680035	49.835	2012
47	2.28679888002336	61.543	2012
48	1.12574809045387	67.552	2012
49	1.17900255490796	64.587	2012
50	1.18967002867835	62.096	2012
51	1.25795483995342	72.412	2012
52	1.6861145159117	62.081	2012
53	1.04325846633823	75.042	2012
54	1.51486239278346	71.463	2012
55	1.43473775989847	57.406	2012
56	1.16975295456692	57.69	2012
57	1.11350305765411	67.23	2012
58	1.42079901523807	62.291	2012
59	1.39242245815821	71.734	2012
60	5.72709184503219	67.887	2012
61	3.09451388245776	68.973	2012
62	2.16428820460013	74.186	2012
63	1.77044380778342	68.023	2012
64	1.21960605297695	73.433	2012
65	1.35536523477227	74.366	2012
66	1.54745152968179	69.129	2012
67	1.87548996318488	61.115	2012
68	1.0423791312165	65.378	2012
69	1.24363407080039	78.812	2012
70	1.31398069445986	68.993	2012
71	1.33757624654576	65.355	2012
72	1.30104931328602	78.628	2012
73	1.1893788059405	47.835	2012
74	1.27529497111562	59.913	2012
75	1.3205547113891	72.247	2012
76	1.63443330636662	63.544	2012
77	1.52251770321146	58.679	2012
78	1.72102072494895	74.944	2012
79	1.08144768598733	78.682	2012
80	1.53795043754748	57.079	2012
81	1.02746395421775	63.373	2012
82	1.25217237584519	63.578	2012
83	1.14978162240309	74.368	2012
84	2.4245648428503	74.574	2012
85	1.04167292718682	71.398	2012
86	1.24764996025396	69.143	2012
87	1.22090088590954	68.111	2012
88	1.10458616017853	76.327	2012
89	1.76459263744924	71.679	2012
90	1.65511814727941	55.639	2012
91	1.93825018799082	64.141	2012
92	1.19452817444365	57.64	2012
93	1.0047020301193	60.715	2012
94	1.69211812796738	67.47	2012
95	1.32492077921403	72.615	2012
96	1.56092179010076	59.65	2012
97	2.72678222032726	51.497	2012
98	1.19143956828509	75.14	2012
99	1.24865282833287	77.061	2012
100	2.88284630952988	64.782	2012
101	1.01239557447225	64.708	2012
102	1.27055463914431	73.466	2012
103	1.25626728656689	76.819	2012
104	1.3749243296321	63.733	2012
105	1.32201317838165	72.454	2012
106	1.7221065985627	74.544	2012
107	2.31096819754359	70.881	2012
108	1.18234829659227	79.227	2012
109	1.43577787691977	64.009	2012
110	1.02599615223819	71.669	2012
111	1.05361327233844	72.882	2012
112	1.04164157113224	74.146	2012
113	1.05755612443682	72.167	2012
114	1.05629339032399	65.746	2012
115	1.73500509932964	76.461	2012
116	1.48148983491971	65.457	2012
117	1.36460660874135	75.106	2012
118	1.03885941540068	73.643	2012
119	1.34476538310721	55.451	2012
120	1.30689419251806	82.243	2012
121	1.09896247637595	69.084	2012
123	1.96520970854271	61.846	2012
124	1.43297807857083	55.865	2012
125	1.60690379177461	73.906	2012
126	1.78504453273565	63.792	2012
127	1.09810373801039	69.764	2012
128	1.62943000562546	66.769	2012
129	1.37328015985013	68.484	2012
130	1.91524443517798	62.03	2012
131	2.10107568998441	76.772	2012
132	1.14066216519887	66.081	2012
133	1.34825787086629	58.073	2012
134	1.04151907736485	70.442	2012
135	1.15785362008117	73.716	2012
136	1.44244686947296	75.55	2012
137	2.14877186759913	75.678	2012
138	1.30910510093199	68.722	2012
139	1.00541434592982	63.964	2012
140	1.77508192120878	58.817	2012
141	1.89215774679888	71.627	2012
142	1.38956608767722	78.716	2012
143	1.24278591532233	77.111	2012
144	1.71910735914018	69.874	2012
145	1.0659581363797	69.497	2012
146	1.71870952443318	73.036	2012
147	2.25122233009972	73.704	2012
148	1.67794776599184	67.343	2012
149	1.50828809838033	58.867	2012
150	1.48209934752163	55.626	2012
