y	x	label	key	clickSelects	showSelected2
1364.239872	2002	Afghanistan	Afghanistan	Afghanistan	Afghanistan
6920.545333	2002	Albania	Albania	Albania	Albania
9026.512358	2002	Algeria	Algeria	Algeria	Algeria
4658.73107	2002	Angola	Angola	Angola	Angola
14647.64818	2002	Argentina	Argentina	Argentina	Argentina
5144.307204	2002	Armenia	Armenia	Armenia	Armenia
4566.538056	2002	Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan
36841.47622	2002	Bahamas	Bahamas	Bahamas	Bahamas
44454.77914	2002	Bahrain	Bahrain	Bahrain	Bahrain
2478.738954	2002	Bangladesh	Bangladesh	Bangladesh	Bangladesh
14540.30513	2002	Barbados	Barbados	Barbados	Barbados
8943.528547	2002	Belarus	Belarus	Belarus	Belarus
8515.889069	2002	Belize	Belize	Belize	Belize
2507.159202	2002	Benin	Benin	Benin	Benin
5202.962169	2002	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
7801.875608	2002	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina
10678.78811	2002	Botswana	Botswana	Botswana	Botswana
11360.43717	2002	Brazil	Brazil	Brazil	Brazil
70867.86366	2002	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
1315.082118	2002	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso
833.5666126	2002	Burundi	Burundi	Burundi	Burundi
4759.867716	2002	Cabo Verde	Cabo Verde	Cabo Verde	Cabo Verde
1590.691057	2002	Cambodia	Cambodia	Cambodia	Cambodia
2883.257535	2002	Cameroon	Cameroon	Cameroon	Cameroon
1139.302459	2002	Central African Republic	Central African Republic	Central African Republic	Central African Republic
988.6876959	2002	Chad	Chad	Chad	Chad
15542.03015	2002	Chile	Chile	Chile	Chile
3988.393541	2002	China	China	China	China
9000.437442	2002	Colombia	Colombia	Colombia	Colombia
2872.4931	2002	Comoros	Comoros	Comoros	Comoros
3269.927531	2002	Congo	Congo	Congo	Congo
672.7434858	2002	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
12399.23685	2002	Costa Rica	Costa Rica	Costa Rica	Costa Rica
2613.705314	2002	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire
4559.6451	2002	Cuba	Cuba	Cuba	Cuba
1756.648947	2002	Djibouti	Djibouti	Djibouti	Djibouti
9375.044356	2002	Dominica	Dominica	Dominica	Dominica
9195.327189	2002	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic
8236.865838	2002	Ecuador	Ecuador	Ecuador	Ecuador
8012.491734	2002	Egypt	Egypt	Egypt	Egypt
6423.783483	2002	El Salvador	El Salvador	El Salvador	El Salvador
13279.34611	2002	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea
5662.490275	2002	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)
743.2334114	2002	Ethiopia	Ethiopia	Ethiopia	Ethiopia
9622.009513	2002	Fiji	Fiji	Fiji	Fiji
14318.46781	2002	Gabon	Gabon	Gabon	Gabon
1945.441517	2002	Gambia	Gambia	Gambia	Gambia
5596.452661	2002	Georgia	Georgia	Georgia	Georgia
2813.442443	2002	Ghana	Ghana	Ghana	Ghana
10024.02538	2002	Grenada	Grenada	Grenada	Grenada
6489.613841	2002	Guatemala	Guatemala	Guatemala	Guatemala
1788.521678	2002	Guinea	Guinea	Guinea	Guinea
4885.347596	2002	Guyana	Guyana	Guyana	Guyana
2900.00335	2002	Haiti	Haiti	Haiti	Haiti
3937.678927	2002	Honduras	Honduras	Honduras	Honduras
2682.473037	2002	India	India	India	India
5747.042726	2002	Indonesia	Indonesia	Indonesia	Indonesia
11915.81494	2002	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)
6707.992261	2002	Iraq	Iraq	Iraq	Iraq
9156.400456	2002	Jamaica	Jamaica	Jamaica	Jamaica
9449.941899	2002	Jordan	Jordan	Jordan	Jordan
12765.0785	2002	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan
3217.051331	2002	Kenya	Kenya	Kenya	Kenya
2989.490138	2002	Kiribati	Kiribati	Kiribati	Kiribati
63524.52338	2002	Kuwait	Kuwait	Kuwait	Kuwait
3069.604945	2002	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan
2927.219155	2002	Lao People's Democratic Republic	Lao People's Democratic Republic	Lao People's Democratic Republic	Lao People's Democratic Republic
2724.225264	2002	Lesotho	Lesotho	Lesotho	Lesotho
1587.106628	2002	Liberia	Liberia	Liberia	Liberia
24723.40468	2002	Libya	Libya	Libya	Libya
1349.739504	2002	Madagascar	Madagascar	Madagascar	Madagascar
1004.041368	2002	Malawi	Malawi	Malawi	Malawi
15142.33417	2002	Malaysia	Malaysia	Malaysia	Malaysia
13142.89429	2002	Maldives	Maldives	Maldives	Maldives
1670.312065	2002	Mali	Mali	Mali	Mali
4120.646237	2002	Mauritania	Mauritania	Mauritania	Mauritania
12699.47416	2002	Mauritius	Mauritius	Mauritius	Mauritius
17028.0568	2002	Mexico	Mexico	Mexico	Mexico
3843.154617	2002	Micronesia (Federated States of)	Micronesia (Federated States of)	Micronesia (Federated States of)	Micronesia (Federated States of)
6284.207721	2002	Moldova (Republic of)	Moldova (Republic of)	Moldova (Republic of)	Moldova (Republic of)
