y	x	label	key	clickSelects	showSelected2
1953.65815	2009	Afghanistan	Afghanistan	Afghanistan	Afghanistan
10153.08169	2009	Albania	Albania	Albania	Albania
10708.17326	2009	Algeria	Algeria	Algeria	Algeria
7000.983424	2009	Angola	Angola	Angola	Angola
19225.41262	2009	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda
20779.32028	2009	Argentina	Argentina	Argentina	Argentina
9186.422728	2009	Armenia	Armenia	Armenia	Armenia
12625.62044	2009	Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan
33789.6262	2009	Bahamas	Bahamas	Bahamas	Bahamas
40494.84868	2009	Bahrain	Bahrain	Bahrain	Bahrain
3512.515113	2009	Bangladesh	Bangladesh	Bangladesh	Bangladesh
15749.63089	2009	Barbados	Barbados	Barbados	Barbados
15705.63009	2009	Belarus	Belarus	Belarus	Belarus
8647.544249	2009	Belize	Belize	Belize	Belize
2647.648776	2009	Benin	Benin	Benin	Benin
6095.945494	2009	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
10757.99383	2009	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina
11578.69125	2009	Botswana	Botswana	Botswana	Botswana
13611.11891	2009	Brazil	Brazil	Brazil	Brazil
66277.66465	2009	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
1561.114558	2009	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso
794.0373254	2009	Burundi	Burundi	Burundi	Burundi
6399.245718	2009	Cabo Verde	Cabo Verde	Cabo Verde	Cabo Verde
2483.750246	2009	Cambodia	Cambodia	Cambodia	Cambodia
3285.454823	2009	Cameroon	Cameroon	Cameroon	Cameroon
1110.788224	2009	Central African Republic	Central African Republic	Central African Republic	Central African Republic
1514.11897	2009	Chad	Chad	Chad	Chad
18917.49378	2009	Chile	Chile	Chile	Chile
8056.028397	2009	China	China	China	China
11169.2851	2009	Colombia	Colombia	Colombia	Colombia
2971.68615	2009	Comoros	Comoros	Comoros	Comoros
4323.090428	2009	Congo	Congo	Congo	Congo
782.8943254	2009	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
15528.73779	2009	Costa Rica	Costa Rica	Costa Rica	Costa Rica
2562.097626	2009	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire	Côte d'Ivoire
6916.018671	2009	Cuba	Cuba	Cuba	Cuba
2570.013354	2009	Djibouti	Djibouti	Djibouti	Djibouti
12832.38285	2009	Dominica	Dominica	Dominica	Dominica
11435.12522	2009	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic
9965.533264	2009	Ecuador	Ecuador	Ecuador	Ecuador
10036.67864	2009	Egypt	Egypt	Egypt	Egypt
7058.044685	2009	El Salvador	El Salvador	El Salvador	El Salvador
23244.84747	2009	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea
1320.929136	2009	Eritrea	Eritrea	Eritrea	Eritrea
6861.930591	2009	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)	Eswatini (Kingdom of)
1129.002301	2009	Ethiopia	Ethiopia	Ethiopia	Ethiopia
9701.509166	2009	Fiji	Fiji	Fiji	Fiji
11685.39239	2009	Gabon	Gabon	Gabon	Gabon
2075.716046	2009	Gambia	Gambia	Gambia	Gambia
9037.946485	2009	Georgia	Georgia	Georgia	Georgia
3501.737818	2009	Ghana	Ghana	Ghana	Ghana
11409.52028	2009	Grenada	Grenada	Grenada	Grenada
7124.618243	2009	Guatemala	Guatemala	Guatemala	Guatemala
1774.329626	2009	Guinea	Guinea	Guinea	Guinea
1644.447024	2009	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau
8758.286926	2009	Guyana	Guyana	Guyana	Guyana
3158.425873	2009	Haiti	Haiti	Haiti	Haiti
4616.401304	2009	Honduras	Honduras	Honduras	Honduras
3913.922525	2009	India	India	India	India
7558.922199	2009	Indonesia	Indonesia	Indonesia	Indonesia
14468.93896	2009	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)	Iran (Islamic Republic of)
8112.242749	2009	Iraq	Iraq	Iraq	Iraq
9353.498042	2009	Jamaica	Jamaica	Jamaica	Jamaica
12083.23619	2009	Jordan	Jordan	Jordan	Jordan
17769.16532	2009	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan
3098.179269	2009	Kenya	Kenya	Kenya	Kenya
2405.713817	2009	Kiribati	Kiribati	Kiribati	Kiribati
70744.83853	2009	Kuwait	Kuwait	Kuwait	Kuwait
4053.88964	2009	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan
4377.107329	2009	Lao People's Democratic Republic	Lao People's Democratic Republic	Lao People's Democratic Republic	Lao People's Democratic Republic
17848.17053	2009	Lebanon	Lebanon	Lebanon	Lebanon
2888.062565	2009	Lesotho	Lesotho	Lesotho	Lesotho
1253.49521	2009	Liberia	Liberia	Liberia	Liberia
31068.06663	2009	Libya	Libya	Libya	Libya
1525.698531	2009	Madagascar	Madagascar	Madagascar	Madagascar
1274.154689	2009	Malawi	Malawi	Malawi	Malawi
18734.68225	2009	Malaysia	Malaysia	Malaysia	Malaysia
14050.92438	2009	Maldives	Maldives	Maldives	Maldives
1888.819716	2009	Mali	Mali	Mali	Mali
4841.638357	2009	Mauritania	Mauritania	Mauritania	Mauritania
16546.92266	2009	Mauritius	Mauritius	Mauritius	Mauritius
17090.62063	2009	Mexico	Mexico	Mexico	Mexico
3878.65049	2009	Micronesia (Federated States of)	Micronesia (Federated States of)	Micronesia (Federated States of)	Micronesia (Federated States of)
8271.048497	2009	Moldova (Republic of)	Moldova (Republic of)	Moldova (Republic of)	Moldova (Republic of)
7020.253481	2009	Mongolia	Mongolia	Mongolia	Mongolia
16356.39873	2009	Montenegro	Montenegro	Montenegro	Montenegro
6544.930176	2009	Morocco	Morocco	Morocco	Morocco
988.1886934	2009	Mozambique	Mozambique	Mozambique	Mozambique
2581.673005	2009	Myanmar	Myanmar	Myanmar	Myanmar
8473.739736	2009	Namibia	Namibia	Namibia	Namibia
4355.605704	2009	Nauru	Nauru	Nauru	Nauru
2600.640342	2009	Nepal	Nepal	Nepal	Nepal
