yintercept	key	showSelected2
1202.010488	Afghanistan	Afghanistan
3950.845018	Albania	Albania
7651.361892	Algeria	Algeria
17828.82733	Argentina	Argentina
2679.180791	Armenia	Armenia
30232.33113	Bahamas	Bahamas
41633.74867	Bahrain	Bahrain
1968.361761	Bangladesh	Bangladesh
12666.26181	Barbados	Barbados
7536.229596	Belize	Belize
2074.388033	Benin	Benin
4641.332516	Bolivia (Plurinational State of)	Bolivia (Plurinational State of)
9169.908136	Botswana	Botswana
10454.40246	Brazil	Brazil
70806.75099	Brunei Darussalam	Brunei Darussalam
1065.349796	Burundi	Burundi
1070.465939	Cambodia	Cambodia
2585.755977	Cameroon	Cameroon
1187.592907	Central African Republic	Central African Republic
11786.4719	Chile	Chile
2178.377089	China	China
9058.024654	Colombia	Colombia
3849.832269	Congo	Congo
928.2228098	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)
11003.08651	Costa Rica	Costa Rica
2599.924258	Côte d'Ivoire	Côte d'Ivoire
3491.729852	Cuba	Cuba
6749.281125	Dominican Republic	Dominican Republic
8142.906835	Ecuador	Ecuador
6509.645046	Egypt	Egypt
5816.686235	El Salvador	El Salvador
4833.899673	Eswatini (Kingdom of)	Eswatini (Kingdom of)
8201.826161	Fiji	Fiji
16030.64865	Gabon	Gabon
1926.385989	Gambia	Gambia
2423.57955	Ghana	Ghana
5832.852874	Guatemala	Guatemala
1471.369422	Guinea	Guinea
3170.398688	Guyana	Guyana
2682.380641	Haiti	Haiti
3634.314924	Honduras	Honduras
1970.353279	India	India
5371.530656	Indonesia	Indonesia
9857.982956	Iran (Islamic Republic of)	Iran (Islamic Republic of)
3823.556966	Iraq	Iraq
9489.681144	Jamaica	Jamaica
8059.733787	Jordan	Jordan
9366.238725	Kazakhstan	Kazakhstan
3198.70541	Kenya	Kenya
68814.29026	Kuwait	Kuwait
2628.271232	Kyrgyzstan	Kyrgyzstan
2159.833942	Lao People's Democratic Republic	Lao People's Democratic Republic
2173.281703	Lesotho	Lesotho
27153.59291	Libya	Libya
854.680072	Malawi	Malawi
12995.37815	Malaysia	Malaysia
1413.235637	Mali	Mali
4123.036439	Mauritania	Mauritania
9415.180476	Mauritius	Mauritius
16021.08213	Mexico	Mexico
5591.631758	Moldova (Republic of)	Moldova (Republic of)
3789.919078	Mongolia	Mongolia
4321.581543	Morocco	Morocco
455.0614818	Mozambique	Mozambique
674.2402521	Myanmar	Myanmar
6387.712482	Namibia	Namibia
1698.480308	Nepal	Nepal
2784.307192	Nicaragua	Nicaragua
991.4271307	Niger	Niger
3160.124325	Pakistan	Pakistan
12690.88655	Panama	Panama
4011.942721	Papua New Guinea	Papua New Guinea
8497.619443	Paraguay	Paraguay
5598.380839	Peru	Peru
4211.247913	Philippines	Philippines
62283.31523	Qatar	Qatar
10550.92238	Saint Lucia	Saint Lucia
2245.456274	Sao Tome and Principe	Sao Tome and Principe
43849.13444	Saudi Arabia	Saudi Arabia
2277.084954	Senegal	Senegal
1493.206886	Sierra Leone	Sierra Leone
48167.33664	Singapore	Singapore
9556.131371	South Africa	South Africa
4730.869603	Sri Lanka	Sri Lanka
2852.896973	Sudan	Sudan
5424.152825	Syrian Arab Republic	Syrian Arab Republic
1401.85848	Tajikistan	Tajikistan
1217.434326	Tanzania (United Republic of)	Tanzania (United Republic of)
9233.462764	Thailand	Thailand
1478.528438	Togo	Togo
5114.01067	Tonga	Tonga
10626.56707	Trinidad and Tobago	Trinidad and Tobago
5914.364503	Tunisia	Tunisia
13070.59363	Türkiye	Türkiye
3655.677594	Tuvalu	Tuvalu
975.7395584	Uganda	Uganda
8865.405273	Ukraine	Ukraine
94149.48241	United Arab Emirates	United Arab Emirates
13122.38405	Uruguay	Uruguay
17071.747	Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)
2564.172484	Viet Nam	Viet Nam
2275.655882	Yemen	Yemen
1837.600116	Zambia	Zambia
1557.751403	Zimbabwe	Zimbabwe
