group	size	y	x
1	1.82652182350248	1986.803772	2020
2	1.22383788689003	13069.1277	2020
3	1.8727406120094	10634.88398	2020
4	1.7654671551698	5487.669515	2020
5	1.03825806365081	17222.93616	2020
6	1.88851270816254	19183.11525	2020
7	1.22142646621007	13181.64894	2020
8	1.42445828913798	13683.77025	2020
9	1.08346052912596	24649.01825	2020
10	1.16044761516869	44780.53541	2020
11	2.71325045127556	5822.800881	2020
12	1.0689955654418	13607.0609	2020
13	1.41078848428729	18404.59728	2020
14	1.08223829080742	7500.307225	2020
15	1.47064914822613	3153.238346	2020
16	1.11568636624026	9896.599579	2020
17	1.45729146936429	7592.079508	2020
18	1.24087460291791	14505.45237	2020
19	1.21091471657598	13261.31862	2020
20	2.93334048681002	13814.60236	2020
21	1.08708477948183	63422.3656	2020
22	1.61416183978859	1978.05252	2020
23	1.46270507348586	715.9823911	2020
24	1.1002717240007	6095.131454	2020
25	1.53602688704929	4101.153172	2020
26	1.68140052972783	3581.920676	2020
27	1.30580723330014	900.8032793	2020
28	1.54006500981859	1469.992398	2020
29	1.58157632630281	21509.35879	2020
30	5.99831008923138	16167.83072	2020
31	1.94488373291071	13219.78107	2020
32	1.11820954033553	3237.28643	2020
33	1.31593528401338	2947.117055	2020
34	2.27586505555149	1016.936704	2020
35	1.29943663559368	18631.60779	2020
36	1.68551409802766	4938.491925	2020
37	1.44494259250079	7641.311661	2020
38	1.13766875569847	4606.076485	2020
39	1.0331855618154	11279.75412	2020
40	1.43897138731555	15993.16697	2020
41	1.55517518771321	10079.83696	2020
42	2.37259717424933	11637.16114	2020
43	1.33191765168926	7876.916512	2020
44	1.16680074689497	11457.17495	2020
45	1.24936712779956	1795.295094	2020
46	1.14331574726469	7438.342596	2020
47	2.4333683588805	2240.351134	2020
48	1.12639914374927	10249.00145	2020
49	1.20008657875037	13023.09172	2020
50	1.21205849469831	2013.668573	2020
51	1.25664501083919	13298.32184	2020
52	1.7510374994623	5304.641625	2020
53	1.04480161010638	12403.05465	2020
54	1.55159694725874	8240.391368	2020
55	1.4810038175207	2364.84135	2020
56	1.18756991913368	1835.123646	2020
57	1.11754288492902	19160.30167	2020
58	1.44506283057805	2975.463771	2020
59	1.42107442020053	4682.741182	2020
60	5.94799615789479	6089.656533	2020
61	3.18319015370358	11205.54674	2020
62	2.23705139971245	13925.43865	2020
63	1.8637069675838	8749.302168	2020
64	1.22201270555179	8908.337097	2020
65	1.43755233455932	9182.779177	2020
66	1.57671629356606	23303.72556	2020
67	1.95462276439176	4419.657606	2020
68	1.04534628295044	3585.215506	2020
69	1.276207508528	50504.71761	2020
70	1.33538960631296	4566.176937	2020
71	1.35800820741461	7503.995874	2020
72	1.31484428765637	13310.52871	2020
73	1.19839378184025	2741.093409	2020
74	1.29839490366744	1260.211402	2020
75	1.34132452678914	15903.29971	2020
76	1.70335655713365	1393.178078	2020
77	1.58273203695974	1454.661811	2020
78	1.76284585765535	25314.33845	2020
79	1.09412031853519	12331.54632	2020
80	1.60988495899917	2030.440841	2020
81	1.02449839635157	6870.234746	2020
82	1.28055824117679	5237.615912	2020
83	1.15031229644701	20596.60433	2020
84	2.48625860804127	17721.21226	2020
85	1.04248016466161	3925.961979	2020
86	1.23221878230467	12262.79264	2020
87	1.23999689931344	10575.03908	2020
88	1.10425008577289	18548.47848	2020
89	1.80193670867516	7473.866211	2020
90	1.73924720557891	1212.078122	2020
91	1.96773283644212	4813.516405	2020
92	1.2085193223824	9013.510659	2020
93	1.0074109418103	13877.80367	2020
94	1.71722234341822	3805.213582	2020
95	1.34393310573545	4878.610383	2020
96	1.6530545078302	1268.704238	2020
97	2.91113556066121	4684.512077	2020
98	1.19196972913424	15174.49372	2020
99	1.28195445822372	30926.19077	2020
100	2.99581432349988	4912.291411	2020
101	1.01241394876604	18208.81858	2020
102	1.29638499858867	6270.338146	2020
103	1.27410320963524	25727.89914	2020
