group	size	y	x
1	1.49534497217056	1723.019763	1993
2	1.24022966759195	3595.914885	1993
3	1.69241740932319	7917.633629	1993
6	1.77229391977998	17102.54385	1993
7	1.24587932320315	2491.056752	1993
9	1.06993844227263	29916.29929	1993
10	1.09949194377962	44239.02663	1993
11	2.41010912812013	1922.69547	1993
12	1.06644570855574	12232.15263	1993
14	1.05695169903802	7770.092443	1993
15	1.31604643577689	2118.743621	1993
17	1.36347815090051	4498.276839	1993
19	1.15961454954499	9867.230002	1993
20	2.66666722187759	10180.02345	1993
21	1.06950446480998	70388.81949	1993
23	1.31183098339372	1107.490065	1993
25	1.42360236672744	1064.974439	1993
26	1.46772784754554	2629.803657	1993
27	1.23238101715556	1176.919719	1993
29	1.49524985534821	11503.52562	1993
30	5.5789463935841	1945.10019	1993
31	1.77893417252708	8643.444566	1993
33	1.21289081232091	4077.458565	1993
34	1.83295206438086	1080.65848	1993
35	1.24401909993488	10650.85026	1993
36	1.48302796419842	2588.694654	1993
37	1.43578994687859	3483.09519	1993
40	1.36423914411879	6662.256843	1993
41	1.44162276534754	7930.413238	1993
42	2.03732919665069	6407.29682	1993
43	1.31395379193072	5591.500446	1993
46	1.12866950036002	4944.725873	1993
48	1.11694445089621	7934.856877	1993
49	1.13608259730739	15518.9761	1993
50	1.14255852300625	1983.417545	1993
52	1.54004767345871	2406.689212	1993
54	1.41499511350569	5746.259446	1993
55	1.35125217004194	1452.52753	1993
57	1.11375175452049	2759.99501	1993
58	1.3586575238122	3095.193846	1993
59	1.31018542135834	3738.299973	1993
60	5.03007907655965	1882.700959	1993
61	2.83345710066137	5019.323652	1993
62	2.02348900191566	10117.23334	1993
63	1.58150854359435	4209.081276	1993
64	1.20725271344986	9397.061321	1993
65	1.26701910551629	8027.151124	1993
66	1.54547564940082	10591.41835	1993
67	1.66710826718926	3177.904655	1993
69	1.16980082054061	64998.8981	1993
70	1.2808402561916	3361.234013	1993
71	1.28633232873941	2059.548231	1993
73	1.18137544121612	2194.667326	1993
75	1.28200329931251	27207.9712	1993
77	1.4238854327411	940.5414888	1993
78	1.57779201650743	12217.88443	1993
80	1.40806426001166	1407.147937	1993
82	1.19763959522157	4410.507929	1993
83	1.14038620866484	9216.954344	1993
84	2.23249521135817	15574.05843	1993
86	1.28040463773642	8062.764081	1993
87	1.1991088359949	3641.462652	1993
89	1.67253899323947	3945.784424	1993
90	1.49891578032171	448.7568989	1993
91	1.8558694059539	637.2056598	1993
92	1.16220635272308	6487.800409	1993
94	1.61050730901078	1607.544356	1993
95	1.28143443361385	2786.183763	1993
96	1.40127428550993	1007.985321	1993
100	2.48359200584204	3141.995514	1993
103	1.21343907535372	12444.37608	1993
104	1.27401338822345	3373.802103	1993
105	1.27702379811513	8433.452815	1993
106	1.64195593695647	5110.309806	1993
107	2.07632546747046	4086.322568	1993
108	1.0914370907986	63262.09601	1993
111	1.04944011813653	10469.26832	1993
114	1.0456773007392	2227.246552	1993
115	1.55923217971631	45504.93087	1993
116	1.37887857347972	2338.461338	1993
119	1.27414454382394	1560.348198	1993
120	1.24144617233494	43713.64289	1993
123	1.86338675173882	9399.529866	1993
125	1.55890525649623	4553.142977	1993
126	1.62323898345026	2824.555176	1993
128	1.48701540905185	4994.444403	1993
129	1.31636872546892	2246.896892	1993
130	1.70638919652605	1241.88269	1993
131	2.00639250245042	8682.172192	1993
133	1.26710553540865	1319.98356	1993
134	1.03979178121611	4708.78122	1993
135	1.15008738496751	10466.06893	1993
136	1.39652943680965	5809.242633	1993
137	2.00220194639225	14108.25104	1993
139	1.00242173113031	3341.27662	1993
140	1.58402281503313	948.585039	1993
141	1.95271661044513	11302.57813	1993
142	1.1970274000598	89285.19434	1993
143	1.23547651166631	12331.46378	1993
146	1.60913791562694	17875.426	1993
147	2.11703780920759	2368.245113	1993
148	1.51246864933783	2309.043653	1993
149	1.38059536387223	2031.306647	1993
150	1.43486328910632	1488.866446	1993
