xintercept	showSelected1
-1.5	1
-2.25	2
-2.625	3
-2.4375	4
-2.34375	5
-2.296875	6
-2.2734375	7
-2.26171875	8
-2.267578125	9
-2.2705078125	10
-2.26904296875	11
-2.269775390625	12
-2.2694091796875	13
-2.26959228515625	14
-2.26950073242188	15
