y	x	label	showSelected1
0	-1.5	c = -1.50	1
0	-2.25	c = -2.25	2
0	-2.625	c = -2.62	3
0	-2.4375	c = -2.44	4
0	-2.34375	c = -2.34	5
0	-2.296875	c = -2.30	6
0	-2.2734375	c = -2.27	7
0	-2.26171875	c = -2.26	8
0	-2.267578125	c = -2.27	9
0	-2.2705078125	c = -2.27	10
0	-2.26904296875	c = -2.27	11
0	-2.269775390625	c = -2.27	12
0	-2.2694091796875	c = -2.27	13
0	-2.26959228515625	c = -2.27	14
0	-2.26950073242188	c = -2.27	15
