x	y	label	showSelected1
0	0	c_0.00	1
-2.5	0	c_-2.50	2
-1.25	0	c_-1.25	3
-1.875	0	c_-1.88	4
-1.5625	0	c_-1.56	5
-1.71875	0	c_-1.72	6
-1.796875	0	c_-1.80	7
-1.7578125	0	c_-1.76	8
-1.73828125	0	c_-1.74	9
-1.728515625	0	c_-1.73	10
