y	x	row_in_group	na_group
-1.97087716422641	-2.46492985971944	189	188
-1.52826874144995	-2.4248496993988	190	188
-1.105819431603	-2.38476953907816	191	188
-0.703142921438717	-2.34468937875752	192	188
-0.319852897710316	-2.30460921843687	193	188
0.0444369528290292	-2.26452905811623	194	188
0.390112943426138	-2.22444889779559	195	188
0.717561387327804	-2.18436873747495	196	188
1.02716859778086	-2.14428857715431	197	188
1.3193208880321	-2.10420841683367	198	188
1.59440457132835	-2.06412825651303	199	188
1.85280596091641	-2.02404809619239	200	188
2.0949113700431	-1.98396793587174	201	188
2.32110711195524	-1.9438877755511	202	188
2.53177949989964	-1.90380761523046	203	188
2.72731484712309	-1.86372745490982	204	188
2.90809946687242	-1.82364729458918	205	188
3.07451967239445	-1.78356713426854	206	188
3.22696177693599	-1.7434869739479	207	188
3.36581209374383	-1.70340681362726	208	188
3.49145693606481	-1.66332665330661	209	188
3.60428261714573	-1.62324649298597	210	188
3.7046754502334	-1.58316633266533	211	188
3.79302174857464	-1.54308617234469	212	188
3.86970782541625	-1.50300601202405	213	188
3.93511999400506	-1.46292585170341	214	188
3.98964456758787	-1.42284569138277	215	188
4.0336678594115	-1.38276553106213	216	188
4.06757618272275	-1.34268537074148	217	188
4.09175585076845	-1.30260521042084	218	188
4.1065931767954	-1.2625250501002	219	188
4.11247447405041	-1.22244488977956	220	188
4.1097860557803	-1.18236472945892	221	188
4.09891423523188	-1.14228456913828	222	188
4.08024532565197	-1.10220440881764	223	188
4.05416564028737	-1.06212424849699	224	188
4.02106149238489	-1.02204408817635	225	188
3.98131919519136	-0.981963927855713	226	188
3.93532506195358	-0.941883767535071	227	188
3.88346540591836	-0.901803607214429	228	188
3.82612654033252	-0.861723446893787	229	188
3.76369477844288	-0.821643286573147	230	188
3.69655643349623	-0.781563126252506	231	188
3.62509781873939	-0.741482965931864	232	188
3.54970524741919	-0.701402805611222	233	188
3.47076503278242	-0.661322645290582	234	188
3.38866348807591	-0.62124248496994	235	188
3.30378692654646	-0.581162324649299	236	188
3.21652166144088	-0.541082164328659	237	188
3.127254006006	-0.501002004008017	238	188
3.03637027348861	-0.460921843687375	239	188
2.94425677713554	-0.420841683366733	240	188
2.8512998301936	-0.380761523046093	241	188
2.75788574590959	-0.340681362725451	242	188
2.66440083753034	-0.30060120240481	243	188
2.57123141830265	-0.260521042084168	244	188
2.47876380147333	-0.220440881763528	245	188
2.38738430028921	-0.180360721442886	246	188
2.29747922799708	-0.140280561122244	247	188
2.20943489784377	-0.100200400801604	248	188
2.12363762307608	-0.0601202404809627	249	188
2.04047371694083	-0.0200400801603209	250	188
1.96032949268483	0.0200400801603209	251	188
1.8835912635549	0.0601202404809609	252	188
1.81064534279784	0.100200400801603	253	188
1.74187804366046	0.140280561122244	254	188
1.67767567938959	0.180360721442886	255	188
1.61842456323203	0.220440881763526	256	188
1.5645110084346	0.260521042084168	257	188
1.5163213282441	0.30060120240481	258	188
1.47424183590735	0.34068136272545	259	188
1.43865884467116	0.380761523046091	260	188
1.40995866778235	0.420841683366733	261	188
1.38852761848773	0.460921843687375	262	188
1.3747520100341	0.501002004008015	263	188
1.36901815566829	0.541082164328657	264	188
1.3717123686371	0.581162324649299	265	188
1.38322096218735	0.62124248496994	266	188
1.40393024956584	0.66132264529058	267	188
1.4342265440194	0.701402805611222	268	188
1.47449615879483	0.741482965931864	269	188
1.52512540713895	0.781563126252504	270	188
1.58650060229857	0.821643286573146	271	188
1.6590080575205	0.861723446893787	272	188
1.74303408605155	0.901803607214429	273	188
1.83896500113854	0.941883767535069	274	188
1.94718711602827	0.981963927855711	275	188
2.06808674396757	1.02204408817635	276	188
2.20205019820324	1.06212424849699	277	188
2.3494637919821	1.10220440881763	278	188
2.51071383855095	1.14228456913828	279	188
2.68618665115662	1.18236472945892	280	188
2.8762685430459	1.22244488977956	281	188
3.08134582746563	1.2625250501002	282	188
3.3018048176626	1.30260521042084	283	188
3.53803182688364	1.34268537074148	284	188
3.79041316837553	1.38276553106212	285	188
4.05933515538512	1.42284569138277	286	188
4.34518410115921	1.46292585170341	287	188
4.64834631894461	1.50300601202405	288	188
4.96920812198812	1.54308617234469	289	188
