country,iso3,year,IQ,test_type,n_individuals,domain
"Congo, Democratic Republic of the",COD,2002,68.15690000000001,RPM,155.0,1.0
"Congo, Democratic Republic of the",COD,2002,68.15690000000001,RPM,28.0,1.0
"Congo, Republic of the",COG,1994,62.96627639999999,RPM,88.0,1.0
Costa Rica,CRI,2008,74.51233336123747,RPM,73.0,1.0
Costa Rica,CRI,2008,100.38957837313332,RPM,80.0,1.0
Croatia,HRV,2008,92.4958129741753,RPM,396.0,1.0
Croatia,HRV,2014,90.21391266758611,RPM,82.0,1.0
Cuba,CUB,1973,86.90267591,RPM,1065.0,1.0
Cuba,CUB,1973,84.49239262680933,RPM,386.0,1.0
Cuba,CUB,2000,77.06552008872539,RPM,589.0,1.0
Cyprus,CYP,2006,95.23149317073386,RPM,290.8795180722892,1.0
Cyprus,CYP,2006,95.79756866166456,RPM,3222.0,1.0
Denmark,DNK,1967,97.4865822376,RPM,628.0,1.0
Djibouti,DJI,2017,60.0,RPM,2770.0,1.0
Dominica,DMA,2005,65.78700679147988,RPM,373.0,1.0
Dominica,DMA,2005,66.288803557475,RPM,352.0,1.0
Dominican Republic,DOM,1982,89.15,WIS,34.0,2.0
Ecuador,ECU,1998,84.88163599999999,RPM,25.0,1.0
Ecuador,ECU,1998,64.65271562500001,RPM,16.0,1.0
Ecuador,ECU,2010,78.2477012,RPM,26.0,1.0
Ecuador,ECU,2010,79.18593239999998,RPM,59.0,1.0
Egypt,EGY,1986,97.88647032418768,RPM,2385.0,1.0
Egypt,EGY,1986,87.429598,RPM,5215.0,1.0
Egypt,EGY,1988,77.08314129294482,RPM,452.0,1.0
Egypt,EGY,1995,63.99891185468751,RPM,110.0,1.0
Egypt,EGY,1995,70.59999999999998,WIS,110.0,2.0
Egypt,EGY,1995,77.51918750000007,RPM,170.0,1.0
Egypt,EGY,2000,77.94913392537288,RPM,2147.0,1.0
Egypt,EGY,2012,85.40752,RPM,11284.0,1.0
Egypt,EGY,2017,89.45904144285711,RPM,1756.0,1.0
Eritrea,ERI,1990,66.67045815999998,RPM,450.0,1.0
Eritrea,ERI,1995,87.94573120000003,RPM,74.0,1.0
Eritrea,ERI,1996,66.16969759999998,RPM,40.0,1.0
Eritrea,ERI,1996,66.6143654,RPM,200.0,1.0
Estonia,EST,2001,103.04565424119583,RPM,1390.0,1.0
Estonia,EST,2001,97.84173084023944,RPM,3484.0,1.0
Ethiopia,ETH,1991,67.26239999999999,RPM,250.0,1.0
Ethiopia,ETH,1998,70.59621125259997,RPM,46.0,1.0
Ethiopia,ETH,1998,83.38532220000002,RPM,29.0,1.0
Ethiopia,ETH,2002,72.03628813520001,RPM,236.0,1.0
Ethiopia,ETH,2010,60.08096875519998,RPM,77.0,1.0
Ethiopia,ETH,2010,60.0,RPM,69.0,1.0
Finland,FIN,1970,99.56450328333332,RPM,759.0,1.0
Finland,FIN,2008,94.01794260000004,RPM,403.0,1.0
Finland,FIN,2014,100.5,WIS,657.0,2.0
"Gambia, The",GMB,2001,60.0,RPM,288.0,1.0
"Gambia, The",GMB,2001,60.0,RPM,291.0,1.0
"Gambia, The",GMB,2006,60.0,RPM,144.0,1.0
"Gambia, The",GMB,2006,60.0,RPM,418.0,1.0
"Gambia, The",GMB,2011,60.0,RPM,739.0,1.0
"Gambia, The",GMB,2011,60.0,RPM,711.0,1.0
Gaza Strip,PSE,1981,77.7181818181818,WIS,639.0,2.0
Gaza Strip,PSE,2011,85.80729230769234,RPM,1258.0,1.0
Gaza Strip,PSE,2011,88.14998571428572,RPM,257.0,1.0
Gaza Strip,PSE,2012,69.97416242218748,RPM,2067.0,1.0
Gaza Strip,PSE,2012,75.58933659056329,RPM,2464.0,1.0
Germany,DEU,1988,105.04477582573998,RPM,192.0,1.0
Germany,DEU,1993,101.08523157613732,RPM,345.0,1.0
Germany,DEU,1997,104.64194999999998,RPM,646.0,1.0
Germany,DEU,1997,96.78,WIS,990.0,2.0
Germany,DEU,1998,103.05185405867002,RPM,1563.0,1.0
Germany,DEU,1998,105.99383571428572,RPM,1126.0,1.0
Germany,DEU,2006,99.28,WIS,126.0,2.0
Germany,DEU,2010,97.605,WIS,1650.0,2.0
Germany,DEU,2011,87.61787553886096,RPM,81.0,1.0
Germany,DEU,2011,102.88,WIS,52.0,2.0
Germany,DEU,2015,102.895,WIS,137.0,2.0
Ghana,GHA,1988,61.13924235710344,RPM,1563.0,1.0
Ghana,GHA,1990,60.0,RPM,1736.0,1.0
Ghana,GHA,2009,65.72329398140425,RPM,257.0,1.0
Ghana,GHA,2014,64.840945,RPM,734.0,1.0
Greece,GRC,1963,82.53353146853148,WIS,403.0,2.0
Greece,GRC,1995,89.96000000000001,WIS,956.0,2.0
Greenland,GRL,1995,94.68,WIS,40.0,2.0
Guatemala,GTM,1988,60.0,RPM,1754.0,1.0
Guatemala,GTM,2003,60.0,RPM,521.0,1.0
Guatemala,GTM,2003,60.0,RPM,948.0,1.0
Guatemala,GTM,2003,60.0,RPM,948.0,1.0
Guatemala,GTM,2003,60.0,RPM,521.0,1.0
Guatemala,GTM,2006,69.2516196421,RPM,577.0,1.0
Guatemala,GTM,2006,60.0,RPM,116.0,1.0
Haiti,HTI,1974,96.8472438349676,RPM,133.0,1.0
Haiti,HTI,1981,60.0,RPM,54.0,1.0
Hong Kong,HKG,1968,103.45748733333336,RPM,13822.0,1.0
Hong Kong,HKG,1982,108.9946,RPM,1000.0,1.0
Hong Kong,HKG,1982,105.3,CFT,376.0,1.0
Hong Kong,HKG,1982,110.06506000000002,RPM,4500.0,1.0
Hong Kong,HKG,1986,118.72041282100452,RPM,150.0,1.0
Hong Kong,HKG,1987,103.55,RPM,197.0,1.0
Hong Kong,HKG,1991,123.33789999999998,RPM,479.0,1.0
Hong Kong,HKG,2003,109.07740574099064,RPM,1497.0,1.0
Hungary,HUN,1998,99.36708,RPM,7588.0,1.0
Iceland,ISL,2000,99.42370777330264,RPM,31.0,1.0
Iceland,ISL,2000,100.5628580336842,RPM,519.0,1.0
India,IND,1968,67.04790628662026,RPM,300.0,1.0
India,IND,1984,78.0220828125,RPM,100.0,1.0
India,IND,1988,85.03999999999999,WIS,390.0,2.0
India,IND,1988,69.94,WIS,358.0,2.0
India,IND,1993,82.54179350000005,RPM,39.0,1.0
India,IND,1994,65.43666879999998,RPM,252.0,1.0
India,IND,1994,78.3951231854,RPM,360.0,1.0
India,IND,1994,68.077732175,RPM,290.0,1.0
India,IND,1997,88.69931020407878,RPM,2248.0,1.0
India,IND,1997,84.64451937499997,RPM,8609.0,1.0
India,IND,1998,60.1872375,RPM,26.0,1.0
India,IND,1998,60.1872375,RPM,1377.0,1.0
India,IND,2002,65.09477599999991,RPM,1072.0,1.0
India,IND,2004,79.70849999999996,RPM,100.75,1.0
India,IND,2004,86.51311249999995,RPM,100.75,1.0
India,IND,2004,72.23411249999998,RPM,100.75,1.0
India,IND,2004,64.76306249999996,RPM,100.75,1.0
India,IND,2010,60.0,RPM,838.0,1.0
India,IND,2010,72.02933402050448,RPM,3636.0,1.0
India,IND,2015,82.16333333333334,WIS,140.0,2.0
Indonesia,IDN,1980,60.0006050736603,RPM,25.0,1.0
Indonesia,IDN,1980,69.09454173187893,RPM,64.0,1.0
Indonesia,IDN,1980,88.85245147595819,RPM,74.0,1.0
Indonesia,IDN,1989,87.70899999999999,RPM,130.0,1.0
Indonesia,IDN,1996,80.29920000000001,RPM,54.0,1.0
Indonesia,IDN,1996,86.2002,RPM,49.0,1.0
Indonesia,IDN,1996,86.2002,RPM,48.0,1.0
Indonesia,IDN,1996,83.8254,RPM,99.0,1.0
Indonesia,IDN,1998,85.78020000000001,RPM,72.0,1.0
Indonesia,IDN,1998,81.05120000000002,RPM,136.0,1.0
Indonesia,IDN,1998,76.37100000000001,RPM,62.0,1.0
Indonesia,IDN,1998,81.05120000000002,RPM,125.0,1.0
Indonesia,IDN,1998,83.40540000000001,RPM,88.0,1.0
Indonesia,IDN,2000,62.9922896463325,RPM,621.0593,1.0
Indonesia,IDN,2009,77.58600280311998,RPM,47.0,1.0
Indonesia,IDN,2012,69.33387633983958,RPM,25.0,1.0
Indonesia,IDN,2012,83.55821270687247,RPM,25.0,1.0
Indonesia,IDN,2015,91.34707606686716,RPM,583.0,1.0
Iran,IRN,1974,81.86022922360642,RPM,1294.0,1.0
Iran,IRN,1974,78.57197267801143,RPM,3267.0,1.0
Iran,IRN,2009,77.76552435999997,RPM,1956.0,1.0
Iraq,IRQ,1972,84.4329661923784,RPM,1185.0,1.0
Iraq,IRQ,1972,86.4181,RPM,204.0,1.0
Iraq,IRQ,2011,101.25475299323644,RPM,529.0,1.0
Ireland,IRL,1990,88.56,WIS,200.0,2.0
Ireland,IRL,1990,90.79199666,RPM,191.0,1.0
Israel,ISR,1979,84.97900640928381,RPM,549.0,1.0
Israel,ISR,1979,89.113024621875,RPM,534.0,1.0
Israel,ISR,1979,97.5970563268902,RPM,845.0,1.0
Israel,ISR,1991,89.31158333333333,RPM,1740.0,1.0
Israel,ISR,1992,98.7419522,RPM,26.0,1.0
Israel,ISR,1998,93.34516019739996,RPM,11.0,1.0
Italy,ITA,1985,95.72419231518,RPM,459.0,1.0
Italy,ITA,1995,92.7892901248897,RPM,459.0,1.0
Italy,ITA,2008,90.46939752826668,RPM,3285.0,1.0
Italy,ITA,2010,88.42293517975716,RPM,134.0,1.0
Jamaica,JAM,1972,60.0,WIS,71.0,2.0
Jamaica,JAM,1982,80.62548276797291,RPM,159.0,1.0
Jamaica,JAM,1987,74.94604814474962,RPM,206.0,1.0
Jamaica,JAM,1989,60.0,WIS,40.0,2.0
Jamaica,JAM,1990,79.01452560000001,RPM,84.0,1.0
Jamaica,JAM,1991,64.88,WIS,19.0,2.0
Jamaica,JAM,1991,82.62,WIS,41.0,2.0
Jamaica,JAM,1992,76.22690000000003,RPM,56.0,1.0
Jamaica,JAM,1999,79.92,WIS,55.73,2.0
Jamaica,JAM,2000,67.06,WIS,80.0,2.0
Jamaica,JAM,2000,69.7038,RPM,80.0,1.0
Jamaica,JAM,2002,82.74269102812502,RPM,186.0,1.0
Jamaica,JAM,2003,67.5015151125,RPM,245.0,1.0
Jamaica,JAM,2014,82.27243119999997,RPM,33.0,1.0
Jamaica,JAM,2014,83.03752539999999,RPM,33.0,1.0
Japan,JPN,1964,105.3,WIS,600.0,2.0
Japan,JPN,1975,102.16,WIS,1100.0,2.0
Japan,JPN,1987,106.61333333333332,KABC,142.0,1.0
Japan,JPN,1987,111.18,WIS,142.0,2.0
Japan,JPN,1991,109.9213263,RPM,444.0,1.0
Japan,JPN,2005,106.75069234,RPM,644.0,1.0
Japan,JPN,2015,110.33410204999998,RPM,1235.0,1.0
Jordan,JOR,2009,83.02399022499998,RPM,1325.0,1.0
Jordan,JOR,2009,83.10514492215646,RPM,574.0,1.0
Jordan,JOR,2014,67.96455166666664,RPM,960.0,1.0
Jordan,JOR,2014,77.31197369999998,RPM,1045.0,1.0
Kazakhstan,KAZ,2013,76.31154036875938,RPM,402.0,1.0
Kazakhstan,KAZ,2013,87.05836665165,RPM,51.0,1.0
Kazakhstan,KAZ,2013,105.10518659768036,RPM,164.0,1.0
Kenya,KEN,1980,75.07822686208974,RPM,205.0,1.0
Kenya,KEN,1984,69.8875891728,RPM,118.0,1.0
Kenya,KEN,1998,79.62411825859999,RPM,537.0,1.0
Kenya,KEN,1999,79.56552438380001,RPM,554.0,1.0
Kenya,KEN,2001,72.46907130632,RPM,1222.0,1.0
Kenya,KEN,2001,65.62441818591539,RPM,85.0,1.0
Kenya,KEN,2007,77.9611064,RPM,525.0,1.0
Kenya,KEN,2013,70.3027256211,RPM,282.0,1.0
"Korea, South",KOR,1989,107.61465494999996,RPM,107.0,1.0
"Korea, South",KOR,1999,96.76,WIS,2231.0,2.0
"Korea, South",KOR,2011,98.64285714285714,WIS,1229.0,2.0
Kuwait,KWT,1985,86.03112182,RPM,2000.0,1.0
Kuwait,KWT,2002,86.72838928571426,RPM,5629.0,1.0
Kuwait,KWT,2002,94.66168712539684,RPM,1125.0,1.0
Kuwait,KWT,2002,88.68278076351544,RPM,6529.0,1.0
Kyrgyzstan,KGZ,2016,86.93557690006662,RPM,327.0,1.0
Laos,LAO,1996,104.35749999999996,KABC,24.0,1.0
Laos,LAO,1996,83.93749999999996,KABC,22.0,1.0
Laos,LAO,1997,77.48,WIS,40.0,2.0
Laos,LAO,1999,76.0,WIS,56.0,2.0
Latvia,LVA,2012,91.14460638079998,RPM,146.0,1.0
Lebanon,LBN,2005,80.59999999999997,WIS,100.0,2.0
Lebanon,LBN,2005,85.59999999999997,WIS,100.0,2.0
Libya,LBY,2006,86.53606220818332,RPM,600.0,1.0
Libya,LBY,2007,73.09822118376775,RPM,1620.0,1.0
