sample_id,iso3,country,year,IQ,n_individuals,test_type,Region,population,IQ_national
BRA2126,BRA,Brazil,2007,65.3778336448,59.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA4813,BRA,Brazil,2007,91.35883692499999,143.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA1537,BRA,Brazil,2008,83.13916479999997,160.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA1430,BRA,Brazil,2008,95.40652069434174,55.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA7075,BRA,Brazil,2008,85.04317154999998,174.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA7840,BRA,Brazil,2008,96.18876309999999,197.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA2545,BRA,Brazil,2008,83.9657291375,239.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA1328,BRA,Brazil,2008,76.72,83.0,WIS,Latin America & Caribbean,205823665.0,83.48832937018817
BRA3185,BRA,Brazil,2010,95.00252198250004,215.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BRA9335,BRA,Brazil,2014,85.6725497498,355.0,RPM,Latin America & Caribbean,205823665.0,83.48832937018817
BGR1307,BGR,Bulgaria,1982,87.15714285714287,1456.0,CFT,Europe & Central Asia,7144653.0,91.00755203306545
BFA9496,BFA,Burkina Faso,2008,73.79999999999997,4635.0,WIS,Sub-Saharan Africa,19512533.0,73.79999999999997
KHM2888,KHM,Cambodia,1993,60.0,44.0,CFT,East Asia & Pacific,15957223.0,99.73442485006788
KHM9181,KHM,Cambodia,1993,80.20339657301201,306.0,RPM,East Asia & Pacific,15957223.0,99.73442485006788
KHM4764,KHM,Cambodia,2016,101.68047700854166,2831.0,RPM,East Asia & Pacific,15957223.0,99.73442485006788
CAN3280,CAN,Canada,1972,91.21645269999999,219.0,RPM,North America,35362905.0,99.61769520836125
CAN7766,CAN,Canada,1976,76.02494999999999,100.0,WIS,North America,35362905.0,99.61769520836125
CAN8547,CAN,Canada,1976,75.32916666666667,60.0,WIS,North America,35362905.0,99.61769520836125
CAN8614,CAN,Canada,1979,96.2022,313.0,RPM,North America,35362905.0,99.61769520836125
CAN7598,CAN,Canada,1994,97.8,1100.0,WIS,North America,35362905.0,99.61769520836125
CAN9881,CAN,Canada,1995,68.46485707642844,304.0,RPM,North America,35362905.0,99.61769520836125
CAN1036,CAN,Canada,1997,103.60000000000001,548.0,WIS,North America,35362905.0,99.61769520836125
CAN3879,CAN,Canada,1997,102.80000000000001,542.0,WIS,North America,35362905.0,99.61769520836125
CAN8210,CAN,Canada,2008,101.11999999999999,362.0,WIS,North America,35362905.0,99.61769520836125
CAN3009,CAN,Canada,2008,102.0,681.0,WIS,North America,35362905.0,99.61769520836125
CHL1702,CHL,Chile,2000,88.32824199999999,1685.0,RPM,Latin America & Caribbean,17650114.0,87.95281371764987
CHL5835,CHL,Chile,2000,99.69125713301942,391.0,RPM,Latin America & Caribbean,17650114.0,87.95281371764987
CHL2160,CHL,Chile,2006,87.82999999999998,108.0,WIS,Latin America & Caribbean,17650114.0,87.95281371764987
CHL5103,CHL,Chile,2006,88.13999999999999,107.0,WIS,Latin America & Caribbean,17650114.0,87.95281371764987
CHL2393,CHL,Chile,2012,75.50440246520101,102.0,RPM,Latin America & Caribbean,17650114.0,87.95281371764987
CHN7424,CHN,China,1980,101.82000000000001,352.0,WIS,East Asia & Pacific,1373541278.0,102.83677451852913
CHN4119,CHN,China,1984,106.1,660.0,WIS,East Asia & Pacific,1373541278.0,102.83677451852913
CHN3286,CHN,China,1986,92.39067369072326,5108.0,RPM,East Asia & Pacific,1373541278.0,102.83677451852913
CHN9787,CHN,China,1986,99.76477842105265,5108.0,RPM,East Asia & Pacific,1373541278.0,102.83677451852913
CHN1744,CHN,China,1992,118.59203486238982,1497.0,RPM,East Asia & Pacific,1373541278.0,102.83677451852913
CHN3239,CHN,China,1992,113.805575,1799.0,RPM,East Asia & Pacific,1373541278.0,102.83677451852913
CHN7665,CHN,China,2016,94.07997078642606,750.0,RPM,East Asia & Pacific,1373541278.0,102.83677451852913
COL7447,COL,Colombia,1969,67.72,14.0,WIS,Latin America & Caribbean,47220856.0,83.02690308140578
COL9733,COL,Colombia,1972,82.71333333333334,353.0,SBIS,Latin America & Caribbean,47220856.0,83.02690308140578
COL8578,COL,Colombia,2011,87.68499999999999,423.0,WIS,Latin America & Caribbean,47220856.0,83.02690308140578
COD7120,COD,"Congo, Democratic Republic of the",1993,60.0,30.0,KABC,Sub-Saharan Africa,81331050.0,65.67152085008358
COD5527,COD,"Congo, Democratic Republic of the",1993,65.70999999999998,97.0,KABC,Sub-Saharan Africa,81331050.0,65.67152085008358
COD7002,COD,"Congo, Democratic Republic of the",1993,63.309999999999974,97.0,KABC,Sub-Saharan Africa,81331050.0,65.67152085008358
COD1719,COD,"Congo, Democratic Republic of the",1993,67.63499999999998,32.0,KABC,Sub-Saharan Africa,81331050.0,65.67152085008358
COD3826,COD,"Congo, Democratic Republic of the",1993,60.0,23.0,KABC,Sub-Saharan Africa,81331050.0,65.67152085008358
COD8886,COD,"Congo, Democratic Republic of the",1995,60.0,87.0,KABC,Sub-Saharan Africa,81331050.0,65.67152085008358
COD5179,COD,"Congo, Democratic Republic of the",2002,68.15690000000001,155.0,RPM,Sub-Saharan Africa,81331050.0,65.67152085008358
COD7480,COD,"Congo, Democratic Republic of the",2002,68.15690000000001,28.0,RPM,Sub-Saharan Africa,81331050.0,65.67152085008358
COG6635,COG,"Congo, Republic of the",1994,62.96627639999999,88.0,RPM,Sub-Saharan Africa,4852412.0,62.9662764
CRI7021,CRI,Costa Rica,2008,74.51233336123747,73.0,RPM,Latin America & Caribbean,4872543.0,88.26169675776765
CRI3498,CRI,Costa Rica,2008,100.38957837313333,80.0,RPM,Latin America & Caribbean,4872543.0,88.26169675776765
HRV2479,HRV,Croatia,2008,92.4958129741753,396.0,RPM,Europe & Central Asia,4313707.0,94.8337909233297
HRV4727,HRV,Croatia,2014,90.21391266758613,82.0,RPM,Europe & Central Asia,4313707.0,94.8337909233297
CUB6365,CUB,Cuba,1973,86.90267591,1065.0,RPM,Latin America & Caribbean,11179995.0,83.78146046620671
CUB8945,CUB,Cuba,1973,84.49239262680933,386.0,RPM,Latin America & Caribbean,11179995.0,83.78146046620671
CUB3907,CUB,Cuba,2000,77.06552008872539,589.0,RPM,Latin America & Caribbean,11179995.0,83.78146046620671
CYP1414,CYP,Cyprus,2006,95.23149317073386,290.87951807228916,RPM,Europe & Central Asia,1205575.0,93.36073668084691
CYP6250,CYP,Cyprus,2006,95.79756866166457,3222.0,RPM,Europe & Central Asia,1205575.0,93.36073668084691
DNK4889,DNK,Denmark,1967,97.4865822376,628.0,RPM,Europe & Central Asia,5593785.0,98.25388036262186
DJI3851,DJI,Djibouti,2017,60.0,2770.0,RPM,Sub-Saharan Africa,865267.0,60.0
DMA1300,DMA,Dominica,2005,65.78700679147988,373.0,RPM,Latin America & Caribbean,73757.0,66.02348118490521
DMA2143,DMA,Dominica,2005,66.288803557475,352.0,RPM,Latin America & Caribbean,73757.0,66.02348118490521
DOM2027,DOM,Dominican Republic,1982,89.15,34.0,WIS,Latin America & Caribbean,10606865.0,81.78893070935743
ECU1173,ECU,Ecuador,1998,84.88163599999999,25.0,RPM,Latin America & Caribbean,16080778.0,78.23546038122689
ECU7803,ECU,Ecuador,1998,64.65271562500001,16.0,RPM,Latin America & Caribbean,16080778.0,78.23546038122689
ECU7314,ECU,Ecuador,2010,78.2477012,26.0,RPM,Latin America & Caribbean,16080778.0,78.23546038122689
ECU8948,ECU,Ecuador,2010,79.18593239999998,59.0,RPM,Latin America & Caribbean,16080778.0,78.23546038122689
EGY7858,EGY,Egypt,1986,97.88647032418767,2385.0,RPM,Middle East & North Africa,94666993.0,76.30673359087238
EGY9492,EGY,Egypt,1986,87.429598,5215.0,RPM,Middle East & North Africa,94666993.0,76.30673359087238
EGY5531,EGY,Egypt,1988,77.08314129294482,452.0,RPM,Middle East & North Africa,94666993.0,76.30673359087238
EGY2680,EGY,Egypt,1995,63.99891185468751,110.0,RPM,Middle East & North Africa,94666993.0,76.30673359087238
EGY4241,EGY,Egypt,1995,70.59999999999998,110.0,WIS,Middle East & North Africa,94666993.0,76.30673359087238
EGY5080,EGY,Egypt,1995,77.51918750000007,170.0,RPM,Middle East & North Africa,94666993.0,76.30673359087238
EGY8648,EGY,Egypt,2000,77.94913392537288,2147.0,RPM,Middle East & North Africa,94666993.0,76.30673359087238
EGY9075,EGY,Egypt,2012,85.40752,11284.0,RPM,Middle East & North Africa,94666993.0,76.30673359087238
EGY7781,EGY,Egypt,2017,89.45904144285711,1756.0,RPM,Middle East & North Africa,94666993.0,76.30673359087238
ERI9164,ERI,Eritrea,1990,66.67045815999998,450.0,RPM,Sub-Saharan Africa,5869869.0,68.59808707745246
ERI7578,ERI,Eritrea,1995,87.94573120000003,74.0,RPM,Sub-Saharan Africa,5869869.0,68.59808707745246
ERI1246,ERI,Eritrea,1996,66.16969759999998,40.0,RPM,Sub-Saharan Africa,5869869.0,68.59808707745246
ERI7365,ERI,Eritrea,1996,66.6143654,200.0,RPM,Sub-Saharan Africa,5869869.0,68.59808707745246
EST3594,EST,Estonia,2001,103.04565424119585,1390.0,RPM,Europe & Central Asia,1258545.0,101.11487069336215
EST8199,EST,Estonia,2001,97.84173084023944,3484.0,RPM,Europe & Central Asia,1258545.0,101.11487069336215
ETH4617,ETH,Ethiopia,1991,67.26239999999999,250.0,RPM,Sub-Saharan Africa,102374044.0,68.55958337731356
ETH8118,ETH,Ethiopia,1998,70.59621125259997,46.0,RPM,Sub-Saharan Africa,102374044.0,68.55958337731356
ETH1142,ETH,Ethiopia,1998,83.38532220000002,29.0,RPM,Sub-Saharan Africa,102374044.0,68.55958337731356
ETH1789,ETH,Ethiopia,2002,72.03628813520001,236.0,RPM,Sub-Saharan Africa,102374044.0,68.55958337731356
ETH2457,ETH,Ethiopia,2010,60.08096875519998,77.0,RPM,Sub-Saharan Africa,102374044.0,68.55958337731356
ETH5167,ETH,Ethiopia,2010,60.0,69.0,RPM,Sub-Saharan Africa,102374044.0,68.55958337731356
FIN7261,FIN,Finland,1970,99.56450328333332,759.0,RPM,Europe & Central Asia,5498211.0,100.65508293782332
FIN4144,FIN,Finland,2008,94.01794260000003,403.0,RPM,Europe & Central Asia,5498211.0,100.65508293782332
FIN5106,FIN,Finland,2014,100.5,657.0,WIS,Europe & Central Asia,5498211.0,100.65508293782332
GMB4394,GMB,"Gambia, The",2001,60.0,288.0,RPM,Sub-Saharan Africa,2009648.0,60.00000000000001
GMB6696,GMB,"Gambia, The",2001,60.0,291.0,RPM,Sub-Saharan Africa,2009648.0,60.00000000000001
GMB5362,GMB,"Gambia, The",2006,60.0,144.0,RPM,Sub-Saharan Africa,2009648.0,60.00000000000001
GMB6388,GMB,"Gambia, The",2006,60.0,418.0,RPM,Sub-Saharan Africa,2009648.0,60.00000000000001
GMB4458,GMB,"Gambia, The",2011,60.0,739.0,RPM,Sub-Saharan Africa,2009648.0,60.00000000000001
GMB8521,GMB,"Gambia, The",2011,60.0,711.0,RPM,Sub-Saharan Africa,2009648.0,60.00000000000001
PSE8495,PSE,Gaza Strip,1981,77.7181818181818,639.0,WIS,Middle East & North Africa,1795183.0,76.27298436233795
PSE2854,PSE,Gaza Strip,2011,85.80729230769234,1258.0,RPM,Middle East & North Africa,1795183.0,76.27298436233795
PSE5248,PSE,Gaza Strip,2011,88.14998571428572,257.0,RPM,Middle East & North Africa,1795183.0,76.27298436233795
PSE1534,PSE,Gaza Strip,2012,69.97416242218748,2067.0,RPM,Middle East & North Africa,1795183.0,76.27298436233795
PSE7831,PSE,Gaza Strip,2012,75.58933659056329,2464.0,RPM,Middle East & North Africa,1795183.0,76.27298436233795
DEU7126,DEU,Germany,1988,105.04477582573998,192.0,RPM,Europe & Central Asia,80722792.0,100.61109371385746
DEU3018,DEU,Germany,1993,101.08523157613732,345.0,RPM,Europe & Central Asia,80722792.0,100.61109371385746
DEU1978,DEU,Germany,1997,104.64194999999998,646.0,RPM,Europe & Central Asia,80722792.0,100.61109371385746
DEU4339,DEU,Germany,1997,96.78,990.0,WIS,Europe & Central Asia,80722792.0,100.61109371385746
DEU2018,DEU,Germany,1998,103.05185405867002,1563.0,RPM,Europe & Central Asia,80722792.0,100.61109371385746
DEU6886,DEU,Germany,1998,105.99383571428572,1126.0,RPM,Europe & Central Asia,80722792.0,100.61109371385746
DEU1788,DEU,Germany,2006,99.28,126.0,WIS,Europe & Central Asia,80722792.0,100.61109371385746
DEU3866,DEU,Germany,2010,97.60499999999999,1650.0,WIS,Europe & Central Asia,80722792.0,100.61109371385746
DEU6390,DEU,Germany,2011,87.61787553886096,81.0,RPM,Europe & Central Asia,80722792.0,100.61109371385746
DEU1378,DEU,Germany,2011,102.88,52.0,WIS,Europe & Central Asia,80722792.0,100.61109371385746
DEU4523,DEU,Germany,2015,102.895,137.0,WIS,Europe & Central Asia,80722792.0,100.61109371385746
GHA2805,GHA,Ghana,1988,61.13924235710344,1563.0,RPM,Sub-Saharan Africa,26908262.0,60.83531464195181
GHA6878,GHA,Ghana,1990,60.0,1736.0,RPM,Sub-Saharan Africa,26908262.0,60.83531464195181
GHA9826,GHA,Ghana,2009,65.72329398140425,257.0,RPM,Sub-Saharan Africa,26908262.0,60.83531464195181
GHA7539,GHA,Ghana,2014,64.840945,734.0,RPM,Sub-Saharan Africa,26908262.0,60.83531464195181
GRC2595,GRC,Greece,1963,82.53353146853148,403.0,WIS,Europe & Central Asia,10773253.0,91.51443277435274
GRC3724,GRC,Greece,1995,89.96000000000001,956.0,WIS,Europe & Central Asia,10773253.0,91.51443277435274
GRL6745,GRL,Greenland,1995,94.68,40.0,WIS,Other,57728.0,94.68
GTM4094,GTM,Guatemala,1988,60.0,1754.0,RPM,Latin America & Caribbean,15189958.0,61.29494247598246
GTM7637,GTM,Guatemala,2003,60.0,521.0,RPM,Latin America & Caribbean,15189958.0,61.29494247598246
GTM8224,GTM,Guatemala,2003,60.0,948.0,RPM,Latin America & Caribbean,15189958.0,61.29494247598246
GTM5164,GTM,Guatemala,2003,60.0,948.0,RPM,Latin America & Caribbean,15189958.0,61.29494247598246
GTM6150,GTM,Guatemala,2003,60.0,521.0,RPM,Latin America & Caribbean,15189958.0,61.29494247598246
GTM3532,GTM,Guatemala,2006,69.2516196421,577.0,RPM,Latin America & Caribbean,15189958.0,61.29494247598246
GTM5932,GTM,Guatemala,2006,60.0,116.0,RPM,Latin America & Caribbean,15189958.0,61.29494247598246
HTI7223,HTI,Haiti,1974,96.8472438349676,133.0,RPM,Latin America & Caribbean,10485800.0,88.60079139588072
HTI5439,HTI,Haiti,1981,60.0,54.0,RPM,Latin America & Caribbean,10485800.0,88.60079139588072
HKG2327,HKG,Hong Kong,1968,103.45748733333335,13822.0,RPM,East Asia & Pacific,7167403.0,105.35324705484962
HKG2179,HKG,Hong Kong,1982,108.99459999999999,1000.0,RPM,East Asia & Pacific,7167403.0,105.35324705484962
HKG1292,HKG,Hong Kong,1982,105.30000000000001,376.0,CFT,East Asia & Pacific,7167403.0,105.35324705484962
HKG6221,HKG,Hong Kong,1982,110.06506000000002,4500.0,RPM,East Asia & Pacific,7167403.0,105.35324705484962
HKG8204,HKG,Hong Kong,1986,118.72041282100453,150.0,RPM,East Asia & Pacific,7167403.0,105.35324705484962
HKG5631,HKG,Hong Kong,1987,103.55,197.0,RPM,East Asia & Pacific,7167403.0,105.35324705484962
HKG2012,HKG,Hong Kong,1991,123.33789999999998,479.0,RPM,East Asia & Pacific,7167403.0,105.35324705484962
HKG3435,HKG,Hong Kong,2003,109.07740574099063,1497.0,RPM,East Asia & Pacific,7167403.0,105.35324705484962
HUN9083,HUN,Hungary,1998,99.36707999999999,7588.0,RPM,Europe & Central Asia,9874784.0,99.30500680262472
ISL1249,ISL,Iceland,2000,99.42370777330265,31.0,RPM,Europe & Central Asia,335878.0,98.22544986320516
ISL2755,ISL,Iceland,2000,100.5628580336842,519.0,RPM,Europe & Central Asia,335878.0,98.22544986320516
IND3106,IND,India,1968,67.04790628662026,300.0,RPM,South Asia,1266883598.0,76.1406215102303
IND7900,IND,India,1984,78.0220828125,100.0,RPM,South Asia,1266883598.0,76.1406215102303
IND1520,IND,India,1988,85.03999999999999,390.0,WIS,South Asia,1266883598.0,76.1406215102303
IND2894,IND,India,1988,69.94,358.0,WIS,South Asia,1266883598.0,76.1406215102303
