showSelected1	ymin	ymax	xmin	xmax
14	0	0	3.55	4.45
14	0	0	4.55	5.45
14	0	0	5.55	6.45
14	0	0	6.55	7.45
14	0	0	7.55	8.45
14	0	0	8.55	9.45
14	0	0	9.55	10.45
14	0	0	10.55	11.45
14	0	0	11.55	12.45
14	0	0	12.55	13.45
14	0	0	13.55	14.45
14	0	0	14.55	15.45
15	0	0	0.55	1.45
15	0	0	1.55	2.45
15	0	0	2.55	3.45
15	0	0	3.55	4.45
15	0	0	4.55	5.45
15	0	0	5.55	6.45
15	0	0	6.55	7.45
15	0	0	7.55	8.45
15	0	0	8.55	9.45
15	0	0	9.55	10.45
15	0	0	10.55	11.45
15	0	0	11.55	12.45
15	0	0	12.55	13.45
15	0	0	13.55	14.45
15	0	0	14.55	15.45
16	0	0	0.55	1.45
16	0	0	1.55	2.45
16	0	0	2.55	3.45
16	0	0	3.55	4.45
16	0	0	4.55	5.45
16	0	0	5.55	6.45
16	0	0	6.55	7.45
16	0	0	7.55	8.45
16	0	0	8.55	9.45
16	0	0	9.55	10.45
16	0	1	10.55	11.45
16	0	0	11.55	12.45
16	0	0	12.55	13.45
16	0	0	13.55	14.45
16	0	0	14.55	15.45
17	0	0	0.55	1.45
17	0	0	1.55	2.45
17	0	0	2.55	3.45
17	0	0	3.55	4.45
17	0	0	4.55	5.45
17	0	1	5.55	6.45
17	0	0	6.55	7.45
17	0	0	7.55	8.45
17	0	0	8.55	9.45
17	0	0	9.55	10.45
17	0	1	10.55	11.45
17	0	0	11.55	12.45
17	0	0	12.55	13.45
17	0	0	13.55	14.45
17	0	0	14.55	15.45
18	0	0	0.55	1.45
18	0	0	1.55	2.45
18	0	0	2.55	3.45
18	0	0	3.55	4.45
18	0	1	4.55	5.45
18	0	1	5.55	6.45
18	0	0	6.55	7.45
18	0	0	7.55	8.45
18	0	0	8.55	9.45
18	0	0	9.55	10.45
18	0	1	10.55	11.45
18	0	0	11.55	12.45
18	0	0	12.55	13.45
18	0	0	13.55	14.45
18	0	0	14.55	15.45
19	0	0	0.55	1.45
19	0	0	1.55	2.45
19	0	0	2.55	3.45
19	0	1	3.55	4.45
19	0	1	4.55	5.45
19	0	1	5.55	6.45
19	0	0	6.55	7.45
19	0	0	7.55	8.45
19	0	0	8.55	9.45
19	0	0	9.55	10.45
19	0	1	10.55	11.45
19	0	0	11.55	12.45
19	0	0	12.55	13.45
19	0	0	13.55	14.45
19	0	0	14.55	15.45
20	0	0	0.55	1.45
20	0	0	1.55	2.45
20	0	0	2.55	3.45
20	0	1	3.55	4.45
20	0	1	4.55	5.45
20	0	1	5.55	6.45
20	0	0	6.55	7.45
20	0	1	7.55	8.45
20	0	0	8.55	9.45
20	0	0	9.55	10.45
20	0	1	10.55	11.45
20	0	0	11.55	12.45
20	0	0	12.55	13.45
20	0	0	13.55	14.45
20	0	0	14.55	15.45
21	0	0	0.55	1.45
21	0	0	1.55	2.45
21	0	0	2.55	3.45
21	0	1	3.55	4.45
21	0	2	4.55	5.45
21	0	1	5.55	6.45
21	0	0	6.55	7.45
21	0	1	7.55	8.45
21	0	0	8.55	9.45
21	0	0	9.55	10.45
21	0	1	10.55	11.45
21	0	0	11.55	12.45
21	0	0	12.55	13.45
21	0	0	13.55	14.45
21	0	0	14.55	15.45
22	0	0	0.55	1.45
22	0	0	1.55	2.45
22	0	0	2.55	3.45
22	0	1	3.55	4.45
22	0	2	4.55	5.45
22	0	1	5.55	6.45
22	0	0	6.55	7.45
22	0	2	7.55	8.45
22	0	0	8.55	9.45
22	0	0	9.55	10.45
22	0	1	10.55	11.45
22	0	0	11.55	12.45
22	0	0	12.55	13.45
22	0	0	13.55	14.45
22	0	0	14.55	15.45
23	0	0	0.55	1.45
23	0	0	1.55	2.45
23	0	0	2.55	3.45
23	0	1	3.55	4.45
23	0	2	4.55	5.45
23	0	1	5.55	6.45
23	0	0	6.55	7.45
23	0	2	7.55	8.45
23	0	1	8.55	9.45
23	0	0	9.55	10.45
23	0	1	10.55	11.45
23	0	0	11.55	12.45
23	0	0	12.55	13.45
23	0	0	13.55	14.45
23	0	0	14.55	15.45
24	0	0	0.55	1.45
24	0	0	1.55	2.45
24	0	0	2.55	3.45
24	0	1	3.55	4.45
24	0	2	4.55	5.45
24	0	1	5.55	6.45
24	0	0	6.55	7.45
24	0	2	7.55	8.45
24	0	2	8.55	9.45
24	0	0	9.55	10.45
24	0	1	10.55	11.45
24	0	0	11.55	12.45
24	0	0	12.55	13.45
24	0	0	13.55	14.45
24	0	0	14.55	15.45
25	0	0	0.55	1.45
25	0	0	1.55	2.45
25	0	0	2.55	3.45
25	0	1	3.55	4.45
25	0	2	4.55	5.45
25	0	2	5.55	6.45
25	0	0	6.55	7.45
25	0	2	7.55	8.45
25	0	2	8.55	9.45
25	0	0	9.55	10.45
25	0	1	10.55	11.45
25	0	0	11.55	12.45
25	0	0	12.55	13.45
25	0	0	13.55	14.45
25	0	0	14.55	15.45
26	0	0	0.55	1.45
26	0	0	1.55	2.45
26	0	0	2.55	3.45
26	0	1	3.55	4.45
26	0	2	4.55	5.45
26	0	3	5.55	6.45
26	0	0	6.55	7.45
26	0	2	7.55	8.45
26	0	2	8.55	9.45
26	0	0	9.55	10.45
26	0	1	10.55	11.45
26	0	0	11.55	12.45
26	0	0	12.55	13.45
26	0	0	13.55	14.45
26	0	0	14.55	15.45
27	0	0	0.55	1.45
27	0	0	1.55	2.45
27	0	0	2.55	3.45
27	0	1	3.55	4.45
27	0	2	4.55	5.45
27	0	3	5.55	6.45
27	0	0	6.55	7.45
27	0	2	7.55	8.45
27	0	3	8.55	9.45
27	0	0	9.55	10.45
27	0	1	10.55	11.45
27	0	0	11.55	12.45
27	0	0	12.55	13.45
27	0	0	13.55	14.45
27	0	0	14.55	15.45
28	0	0	0.55	1.45
28	0	0	1.55	2.45
28	0	0	2.55	3.45
28	0	1	3.55	4.45
28	0	2	4.55	5.45
28	0	3	5.55	6.45
28	0	0	6.55	7.45
28	0	3	7.55	8.45
28	0	3	8.55	9.45
28	0	0	9.55	10.45
28	0	1	10.55	11.45
28	0	0	11.55	12.45
28	0	0	12.55	13.45
28	0	0	13.55	14.45
28	0	0	14.55	15.45
29	0	0	0.55	1.45
29	0	0	1.55	2.45
29	0	0	2.55	3.45
29	0	1	3.55	4.45
29	0	2	4.55	5.45
29	0	3	5.55	6.45
29	0	0	6.55	7.45
29	0	4	7.55	8.45
29	0	3	8.55	9.45
29	0	0	9.55	10.45
29	0	1	10.55	11.45
29	0	0	11.55	12.45
29	0	0	12.55	13.45
29	0	0	13.55	14.45
29	0	0	14.55	15.45
30	0	0	0.55	1.45
30	0	0	1.55	2.45
30	0	0	2.55	3.45
30	0	1	3.55	4.45
30	0	3	4.55	5.45
30	0	3	5.55	6.45
30	0	0	6.55	7.45
30	0	4	7.55	8.45
30	0	3	8.55	9.45
30	0	0	9.55	10.45
30	0	1	10.55	11.45
30	0	0	11.55	12.45
30	0	0	12.55	13.45
30	0	0	13.55	14.45
30	0	0	14.55	15.45
31	0	0	0.55	1.45
31	0	0	1.55	2.45
31	0	0	2.55	3.45
31	0	1	3.55	4.45
31	0	3	4.55	5.45
31	0	4	5.55	6.45
31	0	0	6.55	7.45
31	0	4	7.55	8.45
31	0	3	8.55	9.45
31	0	0	9.55	10.45
31	0	1	10.55	11.45
31	0	0	11.55	12.45
31	0	0	12.55	13.45
31	0	0	13.55	14.45
31	0	0	14.55	15.45
32	0	0	0.55	1.45
32	0	0	1.55	2.45
32	0	0	2.55	3.45
32	0	1	3.55	4.45
32	0	3	4.55	5.45
32	0	5	5.55	6.45
32	0	0	6.55	7.45
32	0	4	7.55	8.45
32	0	3	8.55	9.45
32	0	0	9.55	10.45
32	0	1	10.55	11.45
32	0	0	11.55	12.45
32	0	0	12.55	13.45
32	0	0	13.55	14.45
32	0	0	14.55	15.45
33	0	0	0.55	1.45
33	0	0	1.55	2.45
33	0	0	2.55	3.45
33	0	1	3.55	4.45
33	0	3	4.55	5.45
33	0	6	5.55	6.45
33	0	0	6.55	7.45
33	0	4	7.55	8.45
33	0	3	8.55	9.45
33	0	0	9.55	10.45
33	0	1	10.55	11.45
33	0	0	11.55	12.45
33	0	0	12.55	13.45
33	0	0	13.55	14.45
33	0	0	14.55	15.45
34	0	0	0.55	1.45
34	0	0	1.55	2.45
34	0	0	2.55	3.45
34	0	1	3.55	4.45
34	0	3	4.55	5.45
34	0	6	5.55	6.45
34	0	0	6.55	7.45
34	0	4	7.55	8.45
34	0	3	8.55	9.45
34	0	1	9.55	10.45
34	0	1	10.55	11.45
34	0	0	11.55	12.45
34	0	0	12.55	13.45
34	0	0	13.55	14.45
34	0	0	14.55	15.45
35	0	0	0.55	1.45
35	0	0	1.55	2.45
35	0	0	2.55	3.45
35	0	1	3.55	4.45
35	0	3	4.55	5.45
35	0	6	5.55	6.45
35	0	0	6.55	7.45
35	0	4	7.55	8.45
35	0	4	8.55	9.45
35	0	1	9.55	10.45
35	0	1	10.55	11.45
35	0	0	11.55	12.45
35	0	0	12.55	13.45
35	0	0	13.55	14.45
35	0	0	14.55	15.45
36	0	0	0.55	1.45
36	0	0	1.55	2.45
36	0	0	2.55	3.45
36	0	1	3.55	4.45
36	0	3	4.55	5.45
36	0	6	5.55	6.45
36	0	0	6.55	7.45
36	0	5	7.55	8.45
36	0	4	8.55	9.45
36	0	1	9.55	10.45
36	0	1	10.55	11.45
36	0	0	11.55	12.45
36	0	0	12.55	13.45
36	0	0	13.55	14.45
36	0	0	14.55	15.45
37	0	0	0.55	1.45
37	0	0	1.55	2.45
37	0	0	2.55	3.45
37	0	1	3.55	4.45
37	0	4	4.55	5.45
37	0	6	5.55	6.45
37	0	0	6.55	7.45
37	0	5	7.55	8.45
37	0	4	8.55	9.45
37	0	1	9.55	10.45
37	0	1	10.55	11.45
37	0	0	11.55	12.45
37	0	0	12.55	13.45
37	0	0	13.55	14.45
37	0	0	14.55	15.45
38	0	0	0.55	1.45
38	0	0	1.55	2.45
38	0	0	2.55	3.45
38	0	1	3.55	4.45
38	0	4	4.55	5.45
38	0	6	5.55	6.45
38	0	0	6.55	7.45
38	0	5	7.55	8.45
38	0	5	8.55	9.45
38	0	1	9.55	10.45
38	0	1	10.55	11.45
38	0	0	11.55	12.45
38	0	0	12.55	13.45
38	0	0	13.55	14.45
38	0	0	14.55	15.45
39	0	0	0.55	1.45
39	0	0	1.55	2.45
39	0	0	2.55	3.45
39	0	1	3.55	4.45
39	0	4	4.55	5.45
39	0	6	5.55	6.45
39	0	0	6.55	7.45
39	0	6	7.55	8.45
39	0	5	8.55	9.45
39	0	1	9.55	10.45
39	0	1	10.55	11.45
39	0	0	11.55	12.45
39	0	0	12.55	13.45
39	0	0	13.55	14.45
39	0	0	14.55	15.45
40	0	0	0.55	1.45
40	0	0	1.55	2.45
40	0	0	2.55	3.45
40	0	1	3.55	4.45
40	0	4	4.55	5.45
40	0	6	5.55	6.45
40	0	0	6.55	7.45
40	0	6	7.55	8.45
40	0	5	8.55	9.45
40	0	1	9.55	10.45
40	0	2	10.55	11.45
40	0	0	11.55	12.45
40	0	0	12.55	13.45
40	0	0	13.55	14.45
40	0	0	14.55	15.45
41	0	0	0.55	1.45
41	0	0	1.55	2.45
41	0	0	2.55	3.45
41	0	1	3.55	4.45
41	0	5	4.55	5.45
41	0	6	5.55	6.45
41	0	0	6.55	7.45
41	0	6	7.55	8.45
41	0	5	8.55	9.45
41	0	1	9.55	10.45
41	0	2	10.55	11.45
41	0	0	11.55	12.45
41	0	0	12.55	13.45
41	0	0	13.55	14.45
41	0	0	14.55	15.45
42	0	0	0.55	1.45
42	0	0	1.55	2.45
42	0	0	2.55	3.45
42	0	2	3.55	4.45
42	0	5	4.55	5.45
42	0	6	5.55	6.45
42	0	0	6.55	7.45
42	0	6	7.55	8.45
42	0	5	8.55	9.45
42	0	1	9.55	10.45
42	0	2	10.55	11.45
42	0	0	11.55	12.45
42	0	0	12.55	13.45
42	0	0	13.55	14.45
42	0	0	14.55	15.45
43	0	0	0.55	1.45
43	0	0	1.55	2.45
43	0	0	2.55	3.45
43	0	2	3.55	4.45
43	0	5	4.55	5.45
43	0	6	5.55	6.45
43	0	1	6.55	7.45
43	0	6	7.55	8.45
43	0	5	8.55	9.45
43	0	1	9.55	10.45
43	0	2	10.55	11.45
43	0	0	11.55	12.45
43	0	0	12.55	13.45
43	0	0	13.55	14.45
43	0	0	14.55	15.45
44	0	0	0.55	1.45
44	0	0	1.55	2.45
44	0	0	2.55	3.45
44	0	2	3.55	4.45
44	0	5	4.55	5.45
44	0	6	5.55	6.45
44	0	1	6.55	7.45
44	0	6	7.55	8.45
44	0	5	8.55	9.45
44	0	1	9.55	10.45
44	0	3	10.55	11.45
44	0	0	11.55	12.45
44	0	0	12.55	13.45
44	0	0	13.55	14.45
44	0	0	14.55	15.45
45	0	0	0.55	1.45
45	0	0	1.55	2.45
45	0	0	2.55	3.45
45	0	2	3.55	4.45
45	0	5	4.55	5.45
45	0	6	5.55	6.45
45	0	1	6.55	7.45
45	0	6	7.55	8.45
45	0	6	8.55	9.45
45	0	1	9.55	10.45
45	0	3	10.55	11.45
45	0	0	11.55	12.45
45	0	0	12.55	13.45
45	0	0	13.55	14.45
45	0	0	14.55	15.45
46	0	0	0.55	1.45
46	0	0	1.55	2.45
46	0	0	2.55	3.45
46	0	2	3.55	4.45
46	0	5	4.55	5.45
46	0	6	5.55	6.45
46	0	1	6.55	7.45
46	0	7	7.55	8.45
46	0	6	8.55	9.45
46	0	1	9.55	10.45
46	0	3	10.55	11.45
46	0	0	11.55	12.45
46	0	0	12.55	13.45
46	0	0	13.55	14.45
46	0	0	14.55	15.45
