ID,No.,iso3,country,Former ID,Origin (type),Origin (specif.),SES,Sample comp.,Sample char.,Lowest age,Highest age,Mean age,Age deviation,N (ind.),Sample rating,Test (type),Test (meas.),Test (calc.),Test (part),Domain,Procedure,Year (meas.),Year (std.),Time deviation,Country of std.,Testing rating,Recalc.?,Special calc.?,Test-conv.?,Raw-score (uncor.),Raw-score (cor.),IQ (uncor.),Test time adjust.,Country cor.,Add. cor.,Below threshold?,Method rating,IQ (cor.),IQ (L&V),IQ(L&V)-IQ(cor.),|IQ(L&V)-IQ(cor.)|,Full rating,QN-Factor,Short,Full,Found?,DB,L&V
AUS4319,4319.0,AUS,Australia,4.1.1,6.0,,2.0,normal,1.0,8.0,15.5,12.0,26.700000000000003,3333.3333333333335,0.2,RPM,SPM,SPM,full,1.0,1.0,1986.0,1979.0,7.0,1.0,1.0,1.0,1.0,0.0,41.8,41.8,101.75304733333331,-1.470000000000006,0.0,0.0,0.0,1.0,100.28304733333331,100.0,-0.28304733333331455,0.28304733333331455,0.7333333333333334,2444.444444444445,"Raven, Raven & Court (1999)","Raven, J. C., Raven, J., & Court, J. H. (1999). Raven's Progressive Matrices und Vocabulary Scales. Magdeburg: Swets Test Service.",Y,,
AUS5488,5488.0,AUS,Australia,4.1.6,3.0,Adelaide,2.0,normal,3.0,16.0,68.0,34.47,4.230000000000004,455.0,0.4,RPM,APM,APM,full,1.0,1.0,2016.0,1992.0,24.0,1.0,0.6666666666666666,1.0,0.0,0.0,21.34,21.34,99.6874868392,-3.3600000000000136,0.0,0.0,0.0,1.0,96.32748683919999,100.0,3.6725131608000083,3.6725131608000083,0.6888888888888888,313.4444444444444,Waschl et al. (2016),"Waschl, N. A., Nettelbeck, T., Jackson, S. A., & Burns, N. R. (2016). Dimensionality of the Raven's Advanced Progressive Matrices: Sex differences and visuospatial ability. Personality and Individual Differences, 100, 157-166. doi: 10.1016/j.paid.2015.12.008",Y,,
AUT6231,6231.0,AUT,Austria,,6.0,,2.0,normal,3.0,11.0,15.0,12.95,31.05,81.0,0.2,RPM,SPM,SPM,full,1.0,2.0,1991.0,1979.0,12.0,1.0,0.8333333333333334,1.0,0.0,0.0,37.47,44.07,101.39204902289998,-2.5200000000000102,0.0,0.0,0.0,0.6666666666666666,98.87204902289997,,,,0.5666666666666668,45.900000000000006,"Neubauer, Bauer & Huller (1992)","Neubauer, A. C., Bauer, Ch., & Huller, G. (1992). Intelligence, attention, motivation and speed-accuracy trade-off in the Hick Paradigm. Personality and Individual Differences, 13, 1325-1332.",Y,,
AUT2215,2215.0,AUT,Austria,5.1.2,2.0,Styria,2.0,pre-school,3.0,5.0,6.0,5.5,38.5,51.0,0.0,RPM,CPM,CPM,full,1.0,1.0,2008.0,2007.0,1.0,1.0,1.0,1.0,1.0,0.0,24.325,24.325,119.44210385625,-0.21000000000000085,0.0,0.0,0.0,1.0,119.23210385625,,,,0.6666666666666666,34.0,"Rindermann, Stiegmaier & Meisenberg (2014)","Rindermann, H., Stiegmaier, E.-M., & Meisenberg, G. (2014a). Cognitive ability of preschool, primary and secondary school children in Costa Rica. Journal of Biosocial Science, 46, 1-30.",Y,,"Rindermann et al. (2014) reported a study of the intelligence of three samples in Costa Rica compared with matched samples in Austria. The samples were aged 5-6 years tested with the CPM, and 9-11 and 15-16 years tested with a variety of tests. Costa Rican IQs were 95, 89 and 78 for the three groups and averaged 87 relative to an Austrian IQ of 99, and therefore gave a Costa Rica IQ of 86 relative to a British  IQ of 100. "
AUT4153,4153.0,AUT,Austria,5.1.2,2.0,Styria,2.0,normal,3.0,9.0,11.0,10.0,34.0,71.0,0.2,RPM,SPM,SPM,full,1.0,1.0,2008.0,1979.0,29.0,1.0,0.6666666666666666,1.0,1.0,0.0,33.88,33.88,94.66819756750336,-6.090000000000025,0.0,0.0,0.0,1.0,88.57819756750334,,,,0.6222222222222222,44.17777777777778,"Rindermann, Stiegmaier & Meisenberg (2014)","Rindermann, H., Stiegmaier, E.-M., & Meisenberg, G. (2014a). Cognitive ability of preschool, primary and secondary school children in Costa Rica. Journal of Biosocial Science, 46, 1-30.",Y,,"Rindermann et al. (2014) reported a study of the intelligence of three samples in Costa Rica compared with matched samples in Austria. The samples were aged 5-6 years tested with the CPM, and 9-11 and 15-16 years tested with a variety of tests. Costa Rican IQs were 95, 89 and 78 for the three groups and averaged 87 relative to an Austrian IQ of 99, and therefore gave a Costa Rica IQ of 86 relative to a British  IQ of 100. "
BHS6343,6343.0,BHS,"Bahamas, The",6.1.2,1.0,,2.0,normal,5.0,15.0,17.0,16.0,16.0,694.0,0.3,OLSAT,OLSAT,OLSAT,full,2.0,1.0,1988.0,1979.0,9.0,2.0,0.6666666666666666,0.0,0.0,0.0,,,102.85,-3.0599999999999987,-2.5,-10.0,0.0,0.0,87.28999999999999,91.0,3.710000000000008,3.710000000000008,0.3222222222222222,223.6222222222222,Johnson (1988),"Johnson, P. (1988). Effective secondary schooling: factors affecting academic achievement in the Commonwealth of The Bahamas. Ph.D. thesis, University of Toronto.",Y,," A study of the IQ in the Bahamas has also been reported by Johnson (1988) of 694 adolescents in grades 10-12 in secondary schools aged approximately 15-17, and given the Otis-Lennon School Ability Test. The average IQ was 95 based on test norms of 1979, requiring a 2 point Flynn effect reduction for 8 years of norm inflation to give an IQ of 93.  A further reduction of 2 points are needed to converted  to a British  IQ, giving an IQ of 91. The sample is probably selective for high IQ. "
BHS4254,4254.0,BHS,"Bahamas, The",,6.0,,2.0,normal,3.0,6.0,16.0,10.0,22.0,29.0,0.2,WIS,WISC-III,WISC-III,"Picture Completion, Arithmetic, Vocabulary",2.0,1.0,1999.0,1989.0,10.0,3.0,0.16666666666666666,1.0,0.0,0.0,7.666666666666667,7.666666666666667,88.35,-6.000000000000014,-1.2,0.0,0.0,1.0,81.14999999999998,72.0,-9.149999999999977,9.149999999999977,0.45555555555555555,13.21111111111111,Tynes-Jones (2005),"Tynes-Jones, J. (2005). Applying the Bio-Ecological model of intelligence to the Wechsler Scales in The Bahamas. College of the Bahamas Research Journal, 13, 68-80. ",Y,,
BHR9522,9522.0,BHR,Bahrain,7.1.1,1.0,,2.0,normal,3.0,6.0,16.0,11.0,21.299999999999997,1018.0,0.2,WIS,WISC-III,WISC-III,full,2.0,1.0,2015.0,1989.0,26.0,2.0,0.3333333333333333,0.0,1.0,0.0,110.81,110.81,95.09909626719057,-5.780000000000008,-2.5,0.0,0.0,1.0,86.81909626719056,85.5,-1.3190962671905595,1.3190962671905595,0.5111111111111111,520.311111111111,Bakhiet & Lynn (2015e),"Bakhiet, S. F. A., & Lynn, R.  (2015e). Sex differences on the Wechsler Intelligence Scale for Children-III in Bahrain and the United States. Psychological Reports, 117, 794-8.",Y,,"The Wechsler Intelligence Scale for Children-111 (WISC-111) was translated into Arabic and standardized in Bahrain in 2000 by Khalifa and Almotawaa (2002) and the results summarized by Bakhiet & Lynn  (2015). The Arabic standardization required some changes to the verbal subtests but the non-verbal (performance) subtests were unchanged. The Performance IQ was 90.8. The American test was standardised in 1989, so a 3.3 IQ point (11 years) Flynn effect reduction and a further 2 IQ point reduction are required to equate to a British IQ, to bring the Bahrain IQ to 85.5."
BGD1844,1844.0,BGD,Bangladesh,8.1.1,4.0,Matlab,2.0,mothers,5.0,,,27.3,0.6000000000000014,3964.0,0.2,RPM,CPM,CPM,full,1.0,1.0,2004.3333333333333,2007.0,2.6666666666667425,1.0,1.0,0.0,0.0,0.0,,,75.00176411290323,0.6300000000000026,0.0,0.0,0.0,0.3333333333333333,75.63176411290323,75.0,-0.6317641129032268,0.6317641129032268,0.5111111111111111,2026.0444444444443,Hamadani et al. (2011),"Hamadani, J. D., Tofail, F., Nermell. B., Gardner, R., Shiraji, S., Bottai, M., Arifeen, S. E., Huda, S. N., & Vahter, M. (2011). Critical windows of exposure for arsenic-associated impairment of cognitive function in pre-school girls and boys:a population-based cohort study. International Journal of Epidemiology, 40, 1593-1604.",Y,mean female age from CIA,"Hamadani et al. (2011) report a study about arsenic toxicity in a rural sample. A sample of 5 year olds obtained a WPPSI IQ of 75 for the total sample, and 77 for those with the lowest arsenic load. Their mothers are given an SPM IQ of 75 but there is no explanation of how this was calculated. "
BGD3896,3896.0,BGD,Bangladesh,8.1.1,4.0,Matlab,2.0,normal,5.0,,,5.0,21.7,4111.0,0.2,WIS,WPPSI-III,WPPSI-III,full,2.0,1.0,2004.3333333333333,2002.0,2.3333333333332575,2.0,0.6666666666666666,0.0,0.0,0.0,,,75.1,-0.6800000000000033,-2.5,0.0,0.0,0.3333333333333333,71.91999999999999,75.0,3.0800000000000125,3.0800000000000125,0.39999999999999997,1644.3999999999999,Hamadani et al. (2011),"Hamadani, J. D., Tofail, F., Nermell. B., Gardner, R., Shiraji, S., Bottai, M., Arifeen, S. E., Huda, S. N., & Vahter, M. (2011). Critical windows of exposure for arsenic-associated impairment of cognitive function in pre-school girls and boys:a population-based cohort study. International Journal of Epidemiology, 40, 1593-1604.",Y,,"Hamadani et al. (2011) report a study about arsenic toxicity in a rural sample. A sample of 5 year olds obtained a WPPSI IQ of 75 for the total sample, and 77 for those with the lowest arsenic load. Their mothers are given an SPM IQ of 75 but there is no explanation of how this was calculated. "
